,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,1441.0495266796838,-8993.525096262005,-5936.758300264117,-4307.207665853098,-1584.2992305772405,1441.0495266796838,4466.398381535436,7189.306914410121,8818.85754882114,11875.624735214342
2020-10-04,1443.7485754773334,-9010.36973806528,-5947.87769627071,-4315.274955322692,-1587.266582395647,1443.7485754773334,4474.7638311319415,7202.772301840616,8835.375042788632,11897.867475709716
2020-10-11,1420.6854189646742,-9068.326831559341,-5995.612415889899,-4357.560375909011,-1620.4466568542025,1420.6854189646742,4461.817396675548,7198.931410054366,8836.983450035255,11909.697865704697
2020-10-18,1422.8820467472076,-9082.348048637652,-6004.8826798274595,-4364.297925304544,-1622.9521503991093,1422.8820467472076,4468.716145633829,7210.06221531835,8850.646969841266,11928.11233865146
2020-10-25,1451.0150706323043,-9055.719606566103,-5977.813812015808,-4336.994058695558,-1595.2554144724593,1451.0150706323043,4497.285654010838,7239.024396507708,8879.844149827957,11957.750337473335
2020-11-01,1424.7900323794813,-9094.526844219286,-6012.934808886781,-4370.150144577026,-1625.1284160930284,1424.7900323794813,4474.708382460536,7219.730406118899,8862.515070428653,11944.107105761159
2020-11-08,1426.546988821513,-9105.74161072035,-6020.349560750497,-4375.539123496494,-1627.1324165245971,1426.546988821513,4480.226295654838,7228.633298165089,8873.443735419092,11958.835785388947
2020-11-15,1429.2998919062968,-9123.313568998503,-6031.967431740473,-4383.982893834978,-1630.2724027177633,1429.2998919062968,4488.872087827465,7242.582875053355,8890.56741295885,11981.91355021688
2020-11-22,1431.1759814898173,-9135.288770039877,-6039.884952290853,-4389.737280782064,-1632.4122874895734,1431.1759814898173,4494.764151636759,7252.089441426596,8902.237112935385,11997.640930684409
2020-11-29,1433.9360754580687,-9152.906628191866,-6051.533170428497,-4398.2031071707115,-1635.5604756695545,1433.9360754580687,4503.43252756264,7266.075456132951,8919.405519390737,12020.778977154107
2020-12-06,1437.0516656264663,-9172.793641560957,-6064.68166259088,-4407.759320026949,-1639.1141460353606,1437.0516656264663,4513.217378050089,7281.86284975629,8938.785192320222,12046.897171290297
2020-12-13,1442.1404869642133,-9205.275916990891,-6086.157634672776,-4423.367874831156,-1644.9185017456416,1442.1404869642133,4529.199376084446,7307.649047938827,8970.438807780447,12089.557090098562
2020-12-20,1446.2944902189367,-9231.79118819051,-6103.688463917027,-4436.109133200212,-1649.6565954832288,1446.2944902189367,4542.245476044618,7328.698313391054,8996.277644107868,12124.380368381351
2020-12-27,1476.8557887542631,-9216.990362798013,-6084.271012101634,-4414.230362601434,-1623.6648681936724,1476.8557887542631,4577.376545726099,7367.942140157761,9037.98278965796,12170.702540449942
2021-01-03,1477.5715598334104,-9221.457457817518,-6087.219807279415,-4416.369757967118,-1624.4517915776144,1477.5715598334104,4579.595011316813,7371.513077778694,9042.363127090992,12176.601177918605
2021-01-10,1448.559791175803,-9246.250750578134,-6113.24854411593,-4443.0573186023985,-1652.240418272793,1448.559791175803,4549.35990059148,7340.177101019842,9010.368326533373,12143.370532995577
2021-01-17,1449.7000233493275,-9253.52892622163,-6118.060580676115,-4446.554666060436,-1653.5409774176683,1449.7000233493275,4552.940924004663,7345.95491298241,9017.46082759809,12152.929173143604
2021-01-24,1453.3990019698563,-9277.139745778257,-6133.671103489474,-4457.900261962938,-1657.7600659360676,1453.3990019698563,4564.557969508681,7364.69846663685,9040.469308163385,12183.93795045217
2021-01-31,1457.3808096829803,-9302.55588170886,-6150.475228768588,-4470.113358038664,-1662.3017518792303,1457.3808096829803,4577.06327060312,7384.875178688765,9065.237049418689,12217.317702358961
2021-02-07,1490.3151124752826,-9300.989395046827,-6139.720009750461,-4454.459446498326,-1638.4621363100798,1490.3151124752826,4619.092462196113,7435.089873319827,9120.350436571962,12281.6202256102
2021-02-14,1494.376358555055,-9326.33544864478,-6156.45131282306,-4466.598259164964,-1642.9270966880852,1494.376358555055,4631.679915008722,7455.351178696126,9145.204232354223,12315.08877301805
2021-02-21,1495.6827904582024,-9334.488831224618,-6161.833480681379,-4470.503103102644,-1644.363396427017,1495.6827904582024,4635.72907864243,7461.868886617064,9153.1992641958,12325.85501993507
2021-02-28,1497.3220962409566,-9344.719664672526,-6168.58700443768,-4475.402886422669,-1646.1656598761315,1497.3220962409566,4640.809953768079,7470.047281724651,9163.231399739661,12339.364465614646
2021-03-07,1469.6033432548697,-9380.57310329784,-6202.057073038275,-4507.602606027776,-1676.2428843779999,1469.6033432548697,4615.44946940162,7446.809495509755,9141.263962520254,12319.779992779819
2021-03-14,1470.322676936187,-9385.164656667825,-6205.09282317219,-4509.808963540088,-1677.0633628903383,1470.322676936187,4617.708615226918,7450.4545204840515,9145.738380116152,12325.810213611787
2021-03-21,1474.7649892368718,-9413.52022313786,-6223.840381519523,-4523.434530326706,-1682.1303045371335,1474.7649892368718,4631.66018116831,7472.964712485582,9173.3705636784,12363.050405296737
