,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-14,2277.0146,798.68604,1762.2692,1929.4733,2141.9143,2478.5178,2651.903,2812.5862,3248.3354
2021-03-21,2247.956,768.19324,1732.9486,1900.5144,2112.9202,2449.3247,2623.1624,2783.078,3222.059
2021-03-28,2219.0474,738.59875,1704.5652,1871.4629,2083.985,2420.2402,2593.5662,2752.9678,3195.679
2021-04-04,2210.2358,721.5018,1692.225,1860.5603,2074.8274,2412.4006,2586.3225,2745.4973,3191.0789
2021-04-11,2223.4849,703.6483,1694.6079,1867.3529,2084.6194,2429.8906,2607.2334,2768.9285,3226.1265
2021-04-18,2224.605,679.5785,1687.8567,1863.4573,2082.25,2434.085,2615.1624,2778.53,3246.2463
2021-04-25,2228.4639,673.2031,1689.4799,1865.2649,2084.7966,2439.1824,2621.1719,2785.6465,3256.94
2021-05-02,2242.225,659.5378,1693.8804,1872.2819,2095.8044,2456.834,2641.4165,2808.1228,3286.9556
2021-05-09,2234.624,594.4284,1666.417,1851.9221,2083.1404,2456.897,2647.2512,2818.3914,3316.686
2021-05-16,2229.8555,540.8234,1644.3102,1836.6903,2074.766,2459.5183,2655.0215,2830.3557,3348.439
2021-05-23,2214.542,500.13135,1620.4515,1815.3907,2057.4246,2447.3604,2645.418,2823.6548,3353.6633
2021-05-30,2207.1646,484.38583,1610.2119,1806.3104,2050.266,2438.0493,2639.3506,2820.8184,3356.6904
2021-06-06,2227.9053,516.33594,1632.9705,1829.7874,2071.9358,2458.757,2657.0088,2838.5454,3373.6575
2021-06-13,2214.7288,508.29807,1620.6459,1817.8544,2059.071,2443.8906,2642.2573,2825.0745,3362.1445
2021-06-20,2229.8896,513.1375,1631.948,1829.5159,2072.9988,2459.2322,2660.2334,2847.302,3389.3572
2021-06-27,2240.2715,499.412,1634.6373,1833.8918,2080.8447,2473.7734,2675.548,2869.2378,3415.052
2021-07-04,2255.9897,508.09937,1645.9012,1847.6079,2095.608,2491.819,2694.0354,2889.8625,3432.3118
2021-07-11,2269.3193,506.73114,1653.9769,1856.9283,2107.7485,2507.1726,2710.5212,2906.1162,3455.2522
2021-07-18,2260.1472,495.0697,1645.2135,1848.0428,2098.8293,2497.5315,2702.1267,2898.2153,3451.2126
2021-07-25,2255.8064,507.45987,1646.3169,1847.307,2096.6917,2490.4705,2692.0774,2888.5857,3439.1914
2021-08-01,2252.8792,536.73553,1652.1323,1850.742,2095.1816,2482.4392,2680.9778,2874.7366,3415.4087
2021-08-08,2239.4302,522.93884,1637.4503,1836.1538,2081.3374,2469.4924,2667.9937,2862.6946,3402.0684
2021-08-15,2218.6401,503.5188,1617.0898,1815.0742,2060.8225,2448.7805,2647.3433,2843.9407,3381.693
2021-08-22,2215.4878,509.05408,1618.0126,1813.9213,2058.6182,2443.4277,2641.3635,2841.5657,3375.723
2021-08-29,2209.265,514.45526,1617.6941,1811.1016,2056.359,2435.1895,2631.465,2830.3489,3363.3823
2021-09-05,2234.8394,550.6348,1646.5854,1839.0935,2079.7676,2459.487,2654.2598,2851.0647,3377.1907
