,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,906.7017350519886,-555.5793075916421,-127.20994420906969,101.15220767669095,482.73525168035775,906.7017350519886,1330.6682654473618,1712.2512624272863,1940.6134143130469,2368.9827776956195
2020-10-04,910.777100653811,-558.0764780631571,-127.78171661315542,101.60685798977362,484.9050089041844,910.777100653811,1336.6492396385381,1719.9473433178482,1949.3359179207773,2379.630679370779
2020-10-11,913.9702654158262,-560.0330820917187,-128.22971654027924,101.96308943024255,486.6050753488128,913.9702654158262,1341.3355028835454,1725.9774414014098,1956.1702473719317,2387.973612923371
2020-10-18,889.4741071943026,-589.8995376131428,-156.52296501842898,74.5085119133565,460.551879872137,889.4741071943026,1318.396382089871,1704.4397024752489,1935.4711794070342,2368.847752001748
2020-10-25,891.4375576549106,-591.2016986423068,-156.8684782663981,74.67298412322998,461.56851520008513,891.4375576549106,1321.306647788154,1708.2021311865913,1939.7435935762194,2374.0768139521283
2020-11-01,801.4424998258405,-687.0242428689756,-250.98388373829863,-18.53235187841689,369.8838649856694,801.4424998258405,1233.0011346660117,1621.4173993959146,1853.8689312557965,2289.9092903864735
2020-11-08,776.183202896675,-717.5524302225043,-279.9685707858009,-46.69420451839475,343.09693220584063,776.183202896675,1209.2694255522567,1599.0606103117448,1832.3350726496562,2269.9189320863597
2020-11-15,929.7749242510484,-569.7173487837764,-130.4471047848895,103.7262669680775,495.0196020510317,929.7749242510484,1364.5302946714387,1755.8235815340192,1989.9969532869864,2429.267197285873
2020-11-22,781.946067983298,-722.879984120242,-282.04723094736073,-47.04089122839112,345.64429644221883,781.946067983298,1218.247791132481,1610.9330271949873,1845.9394636977493,2286.7722168706305
2020-11-29,935.9645800492593,-573.5100454883916,-131.31551138247764,104.4167888062341,498.3150242765035,935.9645800492593,1373.6141843633993,1767.5123712922846,2003.2446714809962,2445.4392055869102
2020-12-06,815.6743186109877,-699.2242503899631,-255.44079381248628,-18.861444824764913,376.45217168162054,815.6743186109877,1254.896465540355,1650.2101307625467,1886.789479750268,2330.5729363277446
2020-12-13,940.9398582569311,-576.5586352449068,-132.01354121826066,104.97183392753064,500.96390216535247,940.9398582569311,1380.9158631479236,1776.9078825863314,2013.8932577321227,2458.438351758769
2020-12-20,942.7022144744446,-577.6385147788308,-132.26079919454935,105.16844347973803,501.9021947033755,942.7022144744446,1383.5022831363278,1780.2359854691513,2017.6652281434385,2463.0429437277203
2020-12-27,668.4940047636628,-856.9213155445954,-410.057018874834,-171.83528522277874,226.22268333348137,668.4940047636628,1110.7652771398425,1508.8232947501044,1747.044930294156,2193.9092269639177
2021-01-03,918.574770896188,-609.1991079133132,-161.64388099538868,76.94618506267153,475.6196207597338,918.574770896188,1361.5299701624901,1760.2033567297046,1998.793422787765,2446.3486497056892
2021-01-10,947.4469056141703,-580.5458128640097,-132.92647774333824,105.69776416478092,504.42830619399683,947.4469056141703,1390.465554171229,1789.1960470635597,2027.820288971679,2475.43962409235
2021-01-17,794.9348698927432,-734.887647183574,-286.7322799064675,-47.82228120249145,351.38574777938885,794.9348698927432,1238.48394281037,1637.692020987978,1876.6021180834089,2324.7574853605156
2021-01-24,949.7512179170105,-581.9577746858467,-133.24977197357126,105.95483467385576,505.65514048410427,949.7512179170105,1393.8473446063092,1793.5476011601654,2032.7522078075924,2481.460210519868
2021-01-31,797.4510614119921,-737.2137724241154,-287.6398678842007,-47.973652117204345,352.4979820919517,797.4510614119921,1242.4040913805866,1642.8757749411884,1882.5420894110764,2332.115993950991
2021-02-07,923.9291143735251,-612.7501103719076,-162.5860980987549,77.39470195770264,478.39199258486434,923.9291143735251,1369.46628557841,1770.4635267893475,2010.4443268458049,2460.6083391189577
2021-02-14,828.9974700980233,-710.6453168607311,-259.61314092981104,-19.169525980357303,382.601107839717,828.9974700980233,1275.3938323563298,1677.16451568793,1917.6081306373835,2368.6403065683035
2021-02-21,956.7449094445298,-586.2431423499396,-134.2309845097755,106.73505523643995,509.37863775911296,956.7449094445298,1404.1112307490487,1806.7547636526194,2047.720803398835,2499.732961238999
2021-02-28,960.1328905633851,-588.3191196326337,-134.70631710532444,107.11302051045536,511.1824259894346,960.1328905633851,1409.0834049321468,1813.152760616315,2054.9720982320946,2508.584900759404
2021-03-07,962.8984984832925,-590.0137392344413,-135.09433095331318,107.42155344455273,512.6548577535463,962.8984984832925,1413.142189151281,1818.3754435220324,2060.8913279198982,2515.8107362010264
2021-03-14,964.3197203209322,-590.8845894975046,-135.29372789244496,107.58010583385344,513.4115276207847,964.3197203209322,1415.22796303303,1821.059334808011,2063.9331685343095,2519.524030139369
2021-03-21,964.787086310295,-591.1709668835005,-135.35929918136353,107.63224547337263,513.660357009524,964.787086310295,1415.9138656472549,1821.9419271472173,2064.9334718019536,2520.7451395040903
