,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-01,1479.9563,763.54504,1141.3436,1251.823,1376.8583,1583.0544,1708.0896,1818.5691,2196.3677
2020-03-08,1452.7032,645.68164,1070.1067,1194.6617,1335.9631,1569.4434,1710.7449,1835.2998,2259.725
2020-03-15,1399.5204,331.19946,886.55646,1051.9995,1241.5846,1557.4562,1747.0413,1912.4843,2467.8413
2020-03-22,1404.1216,356.97446,900.5649,1062.7927,1248.9164,1559.3269,1745.4504,1907.6782,2451.2688
2020-03-29,1375.2017,164.46681,789.7944,977.6295,1194.0706,1556.3329,1772.7737,1960.609,2585.9365
2020-04-05,1372.9554,146.08075,780.5621,970.83405,1189.8417,1556.0692,1775.0768,1965.349,2599.8303
2020-04-12,1516.7736,588.8007,1073.7034,1217.1987,1380.9005,1652.6466,1816.3483,1959.8435,2444.7463
2020-04-19,1544.4082,-779.0801,384.18655,747.4837,1177.1383,1911.6781,2341.3325,2704.6296,3867.8965
2020-04-26,1556.8817,-255.98184,664.08496,946.62085,1277.0239,1836.7395,2167.1423,2449.6785,3369.745
2020-05-03,1570.1586,-251.37444,674.16724,957.97217,1289.5378,1850.7793,2182.3447,2466.15,3391.6914
2020-05-10,1582.9639,-464.52246,570.8207,890.2101,1264.8492,1901.0786,2275.7178,2595.1072,3630.4502
2020-05-17,1598.6499,-1955.3909,-198.04886,359.19058,1024.9122,2172.3875,2838.109,3395.3489,5152.6904
2020-05-24,1636.616,-1676.1403,-39.901787,479.628,1100.8483,2172.3838,2793.6038,3313.1338,4949.372
2020-05-31,1661.8453,-1294.6497,175.0139,638.03,1188.812,2134.8787,2685.6604,3148.6768,4618.3403
2020-06-07,1677.9194,-1722.349,-46.728085,486.7835,1125.8986,2229.9404,2869.0552,3402.567,5078.188
2020-06-14,1688.379,-1475.248,85.75904,582.007,1175.8701,2200.888,2794.7507,3290.999,4852.006
2020-06-21,1709.0461,-1568.7598,46.665817,560.95245,1176.9904,2241.1018,2857.1396,3371.4265,4986.852
2020-06-28,1715.1473,-1593.1428,36.214108,555.35645,1177.5457,2252.749,2874.938,3394.0806,5023.437
2020-07-05,1749.867,-2102.9568,-216.90936,388.43506,1117.4724,2382.2615,3111.2986,3716.643,5602.6904
2020-07-12,1764.6592,-1903.267,-112.901184,463.7239,1159.7688,2369.5496,3065.594,3642.2195,5432.5854
2020-07-19,1747.9316,-1433.6713,129.75522,629.25116,1228.9799,2266.8833,2866.6118,3366.1082,4929.534
2020-07-26,1743.1108,-1087.942,307.04404,751.2527,1283.4285,2202.7932,2734.9685,3179.1777,4574.164
2020-08-02,1743.864,-1155.4849,265.93286,721.3329,1269.1348,2218.5933,2766.395,3221.7952,4643.213
2020-08-09,1712.0726,-1083.3289,290.1559,729.031,1256.0244,2168.1208,2695.114,3133.9895,4507.474
2020-08-16,1766.0258,-1049.0494,336.97736,778.7513,1308.3431,2223.7083,2753.2998,3195.0742,4581.101
2020-08-23,1761.2588,-1201.7535,254.75516,719.9008,1278.2336,2244.284,2802.6165,3267.7625,4724.271
