"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.5","","","","1"
"2019-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.5","","","","1"
"2019-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.9","","","","1"
"2019-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.7","","","","1"
"2019-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.8","","","","1"
"2020-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.0","","","","1"
"2020-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.7","","","","1"
"2020-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.9","","","","1"
"2020-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.3","","","","1"
"2020-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","137.5","","","","1"
"2020-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.6","","","","1"
"2020-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.8","","","","1"
"2020-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.6","","","","1"
"2020-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.3","","","","1"
"2020-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.9","","","","1"
"2020-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","139.0","","","","1"
"2020-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","138.8","","","","1"
"2021-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","139.5","","","","1"
"2021-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","140.2","","","","1"
"2021-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","141.0","","","","1"
"2021-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","141.8","","","","1"
"2021-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","142.6","","","","1"
"2021-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","143.1","","","","1"
"2021-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","143.7","","","","1"
"2021-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","144.1","","","","1"
"2021-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","144.4","","","","1"
"2021-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","145.7","","","","1"
"2021-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","146.0","","","","1"
"2021-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","146.0","","","","1"
"2022-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","147.4","","","","1"
"2022-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","148.8","","","","1"
"2022-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","150.8","","","","1"
"2022-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","151.6","","","","1"
"2022-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","153.7","","","","1"
"2022-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.4","","","","1"
"2022-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.6","","","","1"
"2022-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.1","","","","1"
"2022-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.1","","","","1"
"2022-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","155.2","","","","1"
"2022-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","155.4","","","","1"
"2022-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","154.8","","","","1"
"2023-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","155.7","","","","1"
"2023-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","156.4","","","","1"
"2023-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","157.3","","","","1"
"2023-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","157.9","","","","1"
"2023-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","158.5","","","","1"
"2017-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","142.1","","","","1"
"2017-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","142.6","","","","1"
"2017-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","142.4","","","","1"
"2017-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","143.0","","","","1"
"2017-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","143.6","","","","1"
"2017-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","144.1","","","","1"
"2017-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","145.1","","","","1"
"2017-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","144.3","","","","1"
"2017-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","142.8","","","","1"
"2017-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","142.0","","","","1"
"2017-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","143.3","","","","1"
"2017-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","144.3","","","","1"
"2018-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.3","","","","1"
"2018-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.6","","","","1"
"2018-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.0","","","","1"
"2018-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","147.0","","","","1"
"2018-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.7","","","","1"
"2018-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","148.3","","","","1"
"2018-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","148.9","","","","1"
"2018-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","148.1","","","","1"
"2018-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.7","","","","1"
"2018-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","146.3","","","","1"
"2018-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","148.0","","","","1"
"2018-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","150.2","","","","1"
"2019-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.6","","","","1"
"2019-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.8","","","","1"
"2019-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","152.7","","","","1"
"2019-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.7","","","","1"
"2019-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.8","","","","1"
"2019-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.3","","","","1"
"2019-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.4","","","","1"
"2019-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","152.6","","","","1"
"2019-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.2","","","","1"
"2020-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.3","","","","1"
"2020-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.4","","","","1"
"2020-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.5","","","","1"
"2020-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.4","","","","1"
"2020-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.1","","","","1"
"2020-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.6","","","","1"
"2020-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.0","","","","1"
"2020-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.9","","","","1"
"2020-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.6","","","","1"
"2020-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.0","","","","1"
"2020-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.3","","","","1"
"2020-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.2","","","","1"
"2021-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.1","","","","1"
"2021-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.1","","","","1"
"2021-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.6","","","","1"
"2021-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.2","","","","1"
"2021-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","158.1","","","","1"
"2021-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","158.1","","","","1"
"2021-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","159.2","","","","1"
"2021-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.0","","","","1"
"2021-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.3","","","","1"
"2021-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.6","","","","1"
"2021-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","162.8","","","","1"
"2021-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","164.1","","","","1"
"2022-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","166.7","","","","1"
"2022-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","168.8","","","","1"
"2022-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","170.5","","","","1"
"2022-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","171.6","","","","1"
"2022-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","173.4","","","","1"
"2022-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","173.2","","","","1"
"2022-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","174.6","","","","1"
"2022-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","175.9","","","","1"
"2022-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","176.9","","","","1"
"2022-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","176.4","","","","1"
"2022-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","178.8","","","","1"
"2022-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","180.4","","","","1"
"2023-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","183.5","","","","1"
"2023-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","184.6","","","","1"
"2023-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","185.2","","","","1"
"2023-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","185.3","","","","1"
"2023-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","187.0","","","","1"
"2017-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.2","","","","1"
"2017-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.2","","","","1"
"2017-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.5","","","","1"
"2017-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.7","","","","1"
"2017-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.3","","","","1"
"2017-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.6","","","","1"
"2017-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","139.8","","","","1"
"2017-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.0","","","","1"
"2017-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.1","","","","1"
"2017-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.5","","","","1"
"2017-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","140.8","","","","1"
"2017-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","141.1","","","","1"
"2018-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","141.7","","","","1"
"2018-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","141.9","","","","1"
"2018-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","141.9","","","","1"
"2018-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","141.9","","","","1"
"2018-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","142.1","","","","1"
"2018-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","142.4","","","","1"
"2018-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","142.6","","","","1"
"2018-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","142.9","","","","1"
"2018-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","143.2","","","","1"
"2018-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","143.7","","","","1"
"2018-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","143.9","","","","1"
"2018-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","144.1","","","","1"
"2019-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.0","","","","1"
"2019-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.5","","","","1"
"2019-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","145.8","","","","1"
"2019-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.5","","","","1"
"2019-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.6","","","","1"
"2019-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","146.8","","","","1"
"2019-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.3","","","","1"
"2019-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.4","","","","1"
"2019-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","147.3","","","","1"
"2019-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.3","","","","1"
"2019-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.6","","","","1"
"2019-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.9","","","","1"
"2020-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.0","","","","1"
"2020-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.3","","","","1"
"2020-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.3","","","","1"
"2020-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.4","","","","1"
"2020-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","148.0","","","","1"
"2020-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.7","","","","1"
"2020-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","149.5","","","","1"
"2020-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","150.2","","","","1"
"2020-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","150.5","","","","1"
"2020-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.2","","","","1"
"2020-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.4","","","","1"
"2020-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","152.3","","","","1"
"2021-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","151.1","","","","1"
"2021-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","151.9","","","","1"
"2021-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","153.5","","","","1"
"2021-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","154.6","","","","1"
"2021-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","155.7","","","","1"
"2021-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","156.9","","","","1"
"2021-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","157.2","","","","1"
"2021-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","157.4","","","","1"
"2021-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","158.4","","","","1"
"2021-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","159.8","","","","1"
"2021-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","160.5","","","","1"
"2021-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","161.5","","","","1"
"2022-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","161.8","","","","1"
"2022-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","162.8","","","","1"
"2022-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","164.8","","","","1"
"2022-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","166.4","","","","1"
"2022-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","167.2","","","","1"
"2022-06","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","167.4","","","","1"
"2022-07","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","168.8","","","","1"
"2022-08","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","168.6","","","","1"
"2022-09","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","169.4","","","","1"
"2022-10","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","170.7","","","","1"
"2022-11","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","171.6","","","","1"
"2022-12","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","172.0","","","","1"
"2023-01","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","172.8","","","","1"
"2023-02","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","173.1","","","","1"
"2023-03","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","173.8","","","","1"
"2023-04","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","174.0","","","","1"
"2023-05","Ontario","2016A000235","Shelter","2002=100","17","units","0","v41691952","14.79","174.6","","","","1"
"2017-01","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","123.6","","","","1"
"2017-02","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.4","","","","1"
"2017-03","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.2","","","","1"
"2017-04","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.8","","","","1"
"2017-05","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.4","","","","1"
"2017-06","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.8","","","","1"
"2017-07","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.2","","","","1"
"2017-08","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","123.5","","","","1"
"2017-09","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","123.2","","","","1"
"2017-10","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.1","","","","1"
"2017-11","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.8","","","","1"
"2017-12","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","122.3","","","","1"
"2018-01","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.9","","","","1"
"2018-02","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","126.4","","","","1"
"2018-03","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.7","","","","1"
"2018-04","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","126.2","","","","1"
"2018-05","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.2","","","","1"
"2018-06","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.2","","","","1"
"2018-07","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.9","","","","1"
"2018-08","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.7","","","","1"
"2018-09","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.5","","","","1"
"2018-10","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","126.6","","","","1"
"2018-11","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","126.3","","","","1"
"2018-12","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.9","","","","1"
"2019-01","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.8","","","","1"
"2019-02","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.3","","","","1"
"2019-03","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.9","","","","1"
"2019-04","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.3","","","","1"
"2019-05","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.3","","","","1"
"2019-06","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.7","","","","1"
"2019-07","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","124.9","","","","1"
"2019-08","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.1","","","","1"
"2019-09","Ontario","2016A000235","Household operations, furnishings and equipment","2002=100","17","units","0","v41691965","14.96","125.3","","","","1"
