timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-07,1569.2222663129223,-13113.188532514052,-8812.035668265371,-6519.10709478466,-2687.723118542627,1569.2222663129223,5826.167651168472,9657.551627410505,11950.480200891216,16251.632184942397
2022-08-14,1615.7164988138684,-13066.693859914356,-8765.541875863175,-6472.612862283714,-2641.228886041681,1615.7164988138684,5872.661883669418,9704.0454198127,11996.97399329341,16298.127737739595
2022-08-21,1615.7164988138684,-13066.693859914356,-8765.541875863175,-6472.612862283714,-2641.228886041681,1615.7164988138684,5872.661883669418,9704.0454198127,11996.97399329341,16298.127737739595
2022-08-28,1615.7164988138684,-13066.693859914356,-8765.541875863175,-6472.612862283714,-2641.228886041681,1615.7164988138684,5872.661883669418,9704.0454198127,11996.97399329341,16298.127737739595
2022-09-04,1569.2222663129223,-13113.188532514052,-8812.035668265371,-6519.10709478466,-2687.723118542627,1569.2222663129223,5826.167651168472,9657.551627410505,11950.480200891216,16251.632184942397
2022-09-11,1569.2222663129223,-13113.188532514052,-8812.035668265371,-6519.10709478466,-2687.723118542627,1569.2222663129223,5826.167651168472,9657.551627410505,11950.480200891216,16251.632184942397
2022-09-18,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
2022-09-25,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
2022-10-02,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
2022-10-09,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
2022-10-16,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
2022-10-23,1588.832186439546,-13093.57861238743,-8792.425748138747,-6499.497174658037,-2668.1131984160033,1588.832186439546,5845.777571295095,9677.161547537129,11970.090121017838,16271.242985266521
