,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-01,1652.4208,725.0274,1259.8405,1398.0382,1541.8903,1762.9513,1906.8033,2045.0011,2579.8142
2020-03-08,1562.8048,394.8577,1067.1917,1241.3822,1423.0236,1702.586,1884.2275,2058.418,2730.752
2020-03-15,1535.8593,648.59296,1159.8492,1292.1179,1429.9104,1641.8082,1779.6007,1911.8694,2423.1255
2020-03-22,1439.8262,256.36188,936.97705,1113.5605,1297.873,1581.7792,1766.0917,1942.6752,2623.2903
2020-03-29,1370.6984,322.98456,925.87146,1082.1583,1245.1936,1496.2031,1659.2383,1815.5253,2418.4124
2020-04-05,1313.9363,159.69519,823.5366,995.7557,1175.5042,1452.3685,1632.117,1804.336,2468.1775
2020-04-12,1496.9038,306.96835,992.05725,1169.5154,1354.538,1639.2697,1824.2922,2001.7505,2686.8394
2020-04-19,1805.1437,-356.13632,887.43677,1209.8451,1546.2003,2064.0872,2400.4424,2722.8508,3966.4238
2020-04-26,1881.1975,-207.22766,995.3001,1306.7345,1631.4053,2130.9897,2455.6604,2767.095,3969.6228
2020-05-03,1958.2853,-227.71738,1030.2272,1356.3059,1696.4506,2220.12,2560.2646,2886.3433,4144.288
2020-05-10,2110.1658,73.249756,1245.6594,1549.4681,1866.3129,2354.0188,2670.8633,2974.672,4147.0815
2020-05-17,2730.5688,-84.860344,1536.9297,1956.6995,2394.1348,3067.0032,3504.4382,3924.208,5545.998
2020-05-24,2798.258,-51.557396,1590.6409,2015.4645,2458.005,3138.5115,3581.0515,4005.8755,5648.0737
2020-05-31,2759.5522,558.55914,1827.1053,2155.1807,2496.876,3022.2285,3363.9236,3691.9993,4960.5454
2020-06-07,2880.5774,-127.20186,1602.5044,2051.3015,2519.7644,3241.3904,3709.8528,4158.6504,5888.3564
2020-06-14,2950.3616,596.3394,1951.5216,2302.5964,2668.6675,3232.0557,3598.1262,3949.2014,5304.384
2020-06-21,2916.9575,900.7874,2061.717,2362.3757,2675.8108,3158.1042,3471.5393,3772.198,4933.1274
2020-06-28,2828.3926,923.2579,2020.757,2304.7964,2600.77,3056.015,3351.9885,3636.0278,4733.5273
2020-07-05,3134.001,1193.5349,2312.0078,2601.2397,2902.4565,3365.5452,3666.7622,3955.9941,5074.467
2020-07-12,3146.704,978.1258,2227.6038,2550.8943,2887.71,3405.6978,3742.5137,4065.8042,5315.282
2020-07-19,2864.8662,1324.041,2212.342,2441.9849,2681.095,3048.6375,3287.7476,3517.3901,4405.6914
2020-07-26,2513.0125,78.80405,1477.4572,1840.8158,2220.4219,2805.6033,3185.2092,3548.568,4947.2207
2020-08-02,2570.6343,662.6468,1760.2932,2044.939,2341.9482,2799.32,3096.329,3380.975,4478.6216
2020-08-09,2321.1782,-170.23668,1260.4027,1632.4067,2021.2838,2621.0728,3009.9497,3381.9536,4812.5933
2020-08-16,2321.4048,125.57718,1388.2516,1715.9072,2057.9465,2584.8628,2926.902,3254.5576,4517.232
2020-08-23,2294.867,110.46,1366.9734,1692.8759,2032.9753,2556.7583,2896.8577,3222.7603,4479.274
