timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-08,1501.0685509496032,-6749.318586957139,-4332.400923703624,-3043.9511161567893,-891.0077263401673,1501.0685509496032,3893.1448282393735,6046.08787747611,7334.537685022946,9751.45534827646
2020-03-15,1518.933328252978,-6731.4538096537635,-4314.53614640025,-3026.0863388534144,-873.1429490367924,1518.933328252978,3911.009605542749,6063.952654779485,7352.40246232632,9769.320125579834
2020-03-22,1450.399970544123,-6799.986656492791,-4383.069333819162,-3094.6195262723268,-941.6763067456474,1450.399970544123,3842.476077543951,5995.419807940459,7283.868934327523,9700.787278740807
2020-03-29,1472.3435325538164,-6778.043775642868,-4361.1257718094685,-3072.6759642626334,-919.7327447359542,1472.3435325538164,3864.419639553644,6017.362688790381,7305.813177496987,9722.73015959073
2020-04-05,1529.6261743317664,-6720.760963574976,-4303.843300321461,-3015.393492774626,-862.4501029580041,1529.6261743317664,3921.702451621537,6074.645500858273,7363.095308405109,9780.012971658623
2020-04-12,1542.3550069648609,-6708.032130941881,-4291.114467688367,-3002.6646601415314,-849.7212703249096,1542.3550069648609,3934.4312842546315,6087.374333491368,7375.824141038203,9792.741804291718
2020-04-19,1713.1348737784192,-6537.252434418266,-4120.334430584866,-2831.8846230380304,-678.9414035113513,1713.1348737784192,4105.210980778247,6258.154030014984,7546.60451872159,9963.521500815334
2020-04-26,1640.3379667754723,-6610.049341421212,-4193.131337587813,-2904.6815300409776,-751.7383105142982,1640.3379667754723,4032.4140737753,6185.357123012037,7473.807611718643,9890.724593812387
2020-05-03,1488.8623381504972,-6761.524288886417,-4344.6069662127875,-3056.1571586659525,-903.2139391392734,1488.8623381504972,3880.938445150325,6033.8821755468325,7322.331301933897,9739.249646347182
2020-05-10,1515.6033084244855,-6734.783318612428,-4317.8659959388,-3029.416188391964,-876.472968865285,1515.6033084244855,3907.6794154243134,6060.62314582082,7349.072272207885,9765.99061662117
2020-05-17,1594.6151171743343,-6655.7715098625795,-4238.85418718895,-2950.4043796421156,-797.4611601154362,1594.6151171743343,3986.691224174162,6139.63495457067,7428.084080957734,9845.002425371018
2020-05-24,1410.5111692331534,-6839.87605381856,-4422.95804998516,-3134.508242438325,-981.5651080566171,1410.5111692331534,3802.5873613779527,5955.53041061469,7243.980218161524,9660.89788141504
