experiment,Test Window 1,Test Window 2,Test Window 3,Test Window 4,Test Window 5,Test Window 6,Test Window 7,Overall mean
autogluon_global_with_scaled_covariates_experiment_DLinearModel,0.28707327635044694,0.21471565304299764,0.1654839544066597,0.18989573544462363,0.17397767413802342,0.337098063251035,0.25333812960731517,0.2316546408915859
autogluon_global_with_scaled_covariates_experiment_DeepARModel,0.3272037944658482,0.23114192858740987,0.15984638196726697,0.16960188337530713,0.168275049913743,0.17040008518625124,0.2094206607741649,0.2051271120385702
autogluon_global_with_scaled_covariates_experiment_PatchTSTModel,0.3882050488684301,0.17785914024961585,0.12595720411584443,0.17161244557671432,0.15939153211286833,0.2440128660843889,0.2148708476456558,0.2117012978076454
autogluon_global_with_scaled_covariates_experiment_RecursiveTabularModel,0.3117739441348746,0.2324249351046783,0.20359572948284846,0.1801204466070147,0.2522410235450569,0.3567387635643239,0.2892171537418421,0.26087314231151987
autogluon_global_with_scaled_covariates_experiment_TemporalFusionTransformerModel,0.31975486451397805,0.11205907063249526,0.235180658012866,0.14750017832918516,0.17877045383455256,0.24000451426041833,0.19263602994188017,0.20370082421791078
autogluon_local_experiment_AutoARIMAModel,0.33926420364086424,0.18957808787102712,0.15252510094787072,0.1624964094647376,0.1608576337296793,0.25503543701023296,0.21884428355686542,0.21122873660303962
autogluon_local_experiment_AutoETSModel,0.30492857561111175,0.1890480446645198,0.15855787223311069,0.16784196049564615,0.17860573797266505,0.2676313551963437,0.2181785169508244,0.21211315187488874
autogluon_local_experiment_ETSModel,0.31518182945588386,0.23018842481808302,0.18544615865879407,0.16363923998830632,0.1992656154387472,0.3101338313641439,0.2360937496447469,0.2342784070526722
autogluon_local_experiment_NaiveModel,0.30458938546747166,0.19076591361178144,0.18414318089593923,0.1838197112207241,0.2008862925750827,0.2813288104793574,0.2736696614760744,0.23131470796091871
autogluon_local_experiment_SeasonalNaiveModel,0.30458938546747166,0.19076591361178144,0.18414318089593923,0.1838197112207241,0.2008862925750827,0.2813288104793574,0.2736696614760744,0.23131470796091871
