experiment,Test Window 1,Test Window 2,Test Window 3,Test Window 4,Test Window 5,Test Window 6,Test Window 7,Overall mean,First mean
autogluon_global_with_scaled_covariates_experiment_DLinearModel,0.11821298328002323,0.1202905435207813,0.1210459689956438,0.15618121993462536,0.14893109992120215,0.21442718145762446,0.18587567572630312,0.1521378104051719,0.11925176340040228
autogluon_global_with_scaled_covariates_experiment_DeepARModel,0.21886523831488908,0.126999957594413,0.13375457526789417,0.13766602611751041,0.15027721190659266,0.21894752102452963,0.17026692484879896,0.16525392215351828,0.17293259795465105
autogluon_global_with_scaled_covariates_experiment_PatchTSTModel,0.3139349501496458,0.12062872469822007,0.11854275998089228,0.1384485655132232,0.1232381409971233,0.19981912033442456,0.18121296513772273,0.17083217525875027,0.21728183742393292
autogluon_global_with_scaled_covariates_experiment_RecursiveTabularModel,0.13433297174814254,0.10798272163185037,0.14123022470007446,0.17545654400976932,0.15063383765622476,0.1953613825297812,0.18710188424238436,0.15601422378831814,0.12115784668999646
autogluon_global_with_scaled_covariates_experiment_TemporalFusionTransformerModel,0.17317890061474758,0.11094325082315165,0.13462343284554446,0.14351263905399808,0.13623976139397007,0.19024144915755306,0.1632759145762689,0.15028790692360486,0.1420610757189496
autogluon_local_experiment_AutoARIMAModel,0.14560562930021617,0.11150840894186863,0.12830417862384114,0.1416268612521907,0.1310694905166115,0.20687359361461438,0.17663025584527678,0.14880263115637418,0.1285570191210424
autogluon_local_experiment_AutoETSModel,0.13130441955466116,0.11276030955540474,0.12664539779419737,0.1469255854255664,0.1381024536006226,0.20529220136892162,0.17694711597815685,0.1482824976110758,0.12203236455503294
autogluon_local_experiment_ETSModel,0.13087726524437862,0.11394455900164416,0.1278586513502831,0.14778453290587285,0.14021747786704536,0.21155798597535752,0.1809398446850354,0.150454331004231,0.12241091212301139
autogluon_local_experiment_NaiveModel,0.12741830426161932,0.11081049663303151,0.15193718884244245,0.16873558892356424,0.15777153350304285,0.25324218956121175,0.21091176996085365,0.1686895816693951,0.11911440044732541
autogluon_local_experiment_SeasonalNaiveModel,0.12741830426161932,0.11081049663303151,0.15193718884244245,0.16873558892356424,0.15777153350304285,0.25324218956121175,0.21091176996085365,0.1686895816693951,0.11911440044732541
