,Category: All categories,sick,symptoms,cough,fever,flu,rsv,allcovidinformation
2018-01-07,0,83.0,24.0,43.0,31.0,32.0,4.0,217.0
2018-01-14,0,86.0,23.0,41.0,34.0,33.0,2.0,219.0
2018-01-21,0,83.0,23.0,45.0,40.0,33.0,2.0,226.0
2018-01-28,0,83.0,23.0,47.0,37.0,34.0,2.0,226.0
2018-02-04,0,76.0,23.0,48.0,38.0,35.0,4.0,224.0
2018-02-11,0,69.0,23.0,43.0,36.0,40.0,3.0,214.0
2018-02-18,0,67.0,22.0,42.0,35.0,28.0,1.0,195.0
2018-02-25,0,71.0,23.0,39.0,34.0,20.0,1.0,188.0
2018-03-04,0,66.0,22.0,36.0,32.0,18.0,1.0,175.0
2018-03-11,0,64.0,21.0,36.0,29.0,14.0,2.0,166.0
2018-03-18,0,62.0,22.0,32.0,29.0,12.0,1.0,158.0
2018-03-25,0,58.0,20.0,31.0,30.0,12.0,0.0,151.0
2018-04-01,0,59.0,20.0,30.0,26.0,11.0,1.0,147.0
2018-04-08,0,59.0,20.0,30.0,27.0,12.0,1.0,149.0
2018-04-15,0,56.0,20.0,27.0,26.0,9.0,1.0,139.0
2018-04-22,0,58.0,19.0,28.0,25.0,9.0,0.0,139.0
2018-04-29,0,55.0,20.0,28.0,27.0,8.0,0.0,138.0
2018-05-06,0,54.0,20.0,28.0,23.0,7.0,1.0,133.0
2018-05-13,0,55.0,19.0,25.0,24.0,6.0,1.0,130.0
2018-05-20,0,52.0,20.0,22.0,25.0,6.0,1.0,126.0
2018-05-27,0,56.0,19.0,23.0,21.0,5.0,1.0,125.0
2018-06-03,0,58.0,19.0,24.0,21.0,5.0,0.0,127.0
2018-06-10,0,54.0,19.0,23.0,23.0,6.0,1.0,126.0
2018-06-17,0,53.0,19.0,20.0,25.0,5.0,0.0,122.0
2018-06-24,0,51.0,19.0,24.0,24.0,5.0,0.0,123.0
2018-07-01,0,49.0,19.0,23.0,20.0,3.0,0.0,114.0
2018-07-08,0,55.0,19.0,25.0,21.0,5.0,0.0,125.0
2018-07-15,0,55.0,19.0,21.0,21.0,4.0,1.0,121.0
2018-07-22,0,55.0,19.0,20.0,22.0,4.0,0.0,120.0
2018-07-29,0,50.0,19.0,20.0,23.0,5.0,0.0,117.0
2018-08-05,0,55.0,20.0,21.0,25.0,5.0,0.0,126.0
2018-08-12,0,60.0,20.0,21.0,24.0,5.0,0.0,130.0
2018-08-19,0,58.0,19.0,22.0,23.0,4.0,1.0,127.0
2018-08-26,0,53.0,19.0,21.0,21.0,5.0,0.0,119.0
2018-09-02,0,54.0,18.0,23.0,20.0,6.0,0.0,121.0
2018-09-09,0,61.0,19.0,25.0,22.0,7.0,1.0,135.0
2018-09-16,0,59.0,20.0,34.0,24.0,10.0,0.0,147.0
2018-09-23,0,68.0,20.0,37.0,25.0,11.0,1.0,162.0
2018-09-30,0,64.0,19.0,39.0,23.0,13.0,1.0,159.0
2018-10-07,0,62.0,20.0,38.0,25.0,16.0,4.0,165.0
2018-10-14,0,63.0,19.0,36.0,21.0,22.0,2.0,163.0
2018-10-21,0,69.0,21.0,35.0,25.0,28.0,2.0,180.0
2018-10-28,0,65.0,20.0,35.0,22.0,27.0,2.0,171.0
2018-11-04,0,66.0,21.0,35.0,24.0,24.0,2.0,172.0
2018-11-11,0,64.0,20.0,36.0,23.0,24.0,2.0,169.0
2018-11-18,0,64.0,22.0,42.0,24.0,19.0,2.0,173.0
2018-11-25,0,80.0,21.0,38.0,27.0,17.0,3.0,186.0
2018-12-02,0,71.0,21.0,45.0,27.0,16.0,2.0,182.0
2018-12-09,0,70.0,20.0,44.0,32.0,16.0,3.0,185.0
2018-12-16,0,67.0,21.0,49.0,37.0,18.0,4.0,196.0
2018-12-23,0,64.0,19.0,54.0,41.0,22.0,3.0,203.0
2018-12-30,0,69.0,21.0,56.0,35.0,25.0,6.0,212.0
2019-01-06,0,69.0,22.0,45.0,30.0,29.0,5.0,200.0
2019-01-13,0,71.0,22.0,36.0,32.0,23.0,4.0,188.0
2019-01-20,0,66.0,22.0,38.0,32.0,22.0,6.0,186.0
2019-01-27,0,62.0,21.0,37.0,32.0,16.0,3.0,171.0
2019-02-03,0,57.0,22.0,38.0,31.0,17.0,3.0,168.0
2019-02-10,0,62.0,21.0,34.0,25.0,14.0,1.0,157.0
2019-02-17,0,59.0,23.0,34.0,29.0,14.0,3.0,162.0
2019-02-24,0,55.0,21.0,32.0,28.0,12.0,1.0,149.0
2019-03-03,0,62.0,23.0,35.0,27.0,14.0,1.0,162.0
2019-03-10,0,59.0,22.0,38.0,27.0,13.0,3.0,162.0
2019-03-17,0,58.0,22.0,37.0,27.0,13.0,3.0,160.0
2019-03-24,0,59.0,23.0,36.0,30.0,12.0,1.0,161.0
2019-03-31,0,59.0,21.0,36.0,30.0,11.0,1.0,158.0
2019-04-07,0,61.0,22.0,35.0,29.0,10.0,1.0,158.0
2019-04-14,0,54.0,19.0,36.0,31.0,9.0,1.0,150.0
2019-04-21,0,54.0,20.0,32.0,25.0,9.0,2.0,142.0
2019-04-28,0,55.0,21.0,32.0,26.0,8.0,1.0,143.0
2019-05-05,0,50.0,21.0,31.0,25.0,7.0,0.0,134.0
2019-05-12,0,53.0,21.0,32.0,24.0,7.0,1.0,138.0
2019-05-19,0,51.0,21.0,29.0,24.0,7.0,2.0,134.0
2019-05-26,0,55.0,20.0,27.0,20.0,5.0,0.0,127.0
2019-06-02,0,55.0,19.0,29.0,23.0,5.0,1.0,132.0
2019-06-09,0,54.0,20.0,28.0,21.0,5.0,0.0,128.0
2019-06-16,0,53.0,20.0,27.0,31.0,5.0,0.0,136.0
2019-06-23,0,49.0,20.0,27.0,26.0,5.0,0.0,127.0
2019-06-30,0,48.0,19.0,27.0,22.0,5.0,0.0,121.0
2019-07-07,0,53.0,20.0,25.0,19.0,4.0,0.0,121.0
2019-07-14,0,49.0,19.0,23.0,21.0,5.0,1.0,118.0
2019-07-21,0,49.0,20.0,22.0,24.0,4.0,1.0,120.0
2019-07-28,0,49.0,20.0,25.0,22.0,4.0,1.0,121.0
2019-08-04,0,46.0,20.0,20.0,23.0,5.0,0.0,114.0
2019-08-11,0,49.0,20.0,23.0,21.0,4.0,1.0,118.0
2019-08-18,0,49.0,20.0,22.0,20.0,5.0,0.0,116.0
2019-08-25,0,49.0,19.0,24.0,19.0,6.0,1.0,118.0
2019-09-01,0,49.0,18.0,24.0,21.0,6.0,2.0,120.0
2019-09-08,0,54.0,20.0,29.0,22.0,8.0,2.0,135.0
2019-09-15,0,63.0,20.0,36.0,24.0,10.0,2.0,155.0
2019-09-22,0,62.0,21.0,37.0,25.0,12.0,2.0,159.0
2019-09-29,0,62.0,20.0,34.0,21.0,13.0,2.0,152.0
2019-10-06,0,63.0,20.0,40.0,24.0,18.0,1.0,166.0
2019-10-13,0,56.0,20.0,38.0,23.0,20.0,2.0,159.0
2019-10-20,0,59.0,20.0,39.0,23.0,29.0,1.0,171.0
2019-10-27,0,59.0,19.0,37.0,24.0,30.0,1.0,170.0
2019-11-03,0,55.0,20.0,39.0,24.0,32.0,1.0,171.0
2019-11-10,0,57.0,19.0,38.0,24.0,27.0,3.0,168.0
2019-11-17,0,59.0,21.0,41.0,25.0,22.0,2.0,170.0
2019-11-24,0,57.0,21.0,39.0,25.0,19.0,3.0,164.0
2019-12-01,0,60.0,19.0,40.0,28.0,17.0,4.0,168.0
2019-12-08,0,60.0,21.0,42.0,32.0,17.0,4.0,176.0
2019-12-15,0,66.0,20.0,50.0,36.0,18.0,5.0,195.0
2019-12-22,0,64.0,19.0,62.0,48.0,26.0,7.0,226.0
2019-12-29,0,66.0,22.0,67.0,46.0,28.0,6.0,235.0
2020-01-05,0,69.0,21.0,52.0,39.0,26.0,5.0,212.0
2020-01-12,0,77.0,23.0,45.0,41.0,27.0,5.0,218.0
2020-01-19,0,68.0,28.0,48.0,40.0,35.0,3.0,222.0
2020-01-26,0,73.0,41.0,51.0,45.0,58.0,4.0,272.0
2020-02-02,0,70.0,27.0,43.0,40.0,33.0,3.0,216.0
2020-02-09,0,68.0,24.0,37.0,40.0,24.0,3.0,196.0
2020-02-16,1,53.0,23.0,39.0,50.0,19.0,2.0,187.0
2020-02-23,2,68.0,27.0,39.0,34.0,35.0,2.0,207.0
2020-03-01,6,70.0,41.0,41.0,39.0,49.0,3.0,249.0
2020-03-08,30,82.0,97.0,67.0,67.0,88.0,2.0,433.0
2020-03-15,79,100.0,100.0,98.0,100.0,100.0,2.0,579.0
2020-03-22,81,72.0,68.0,76.0,74.0,65.0,1.0,437.0
2020-03-29,69,57.0,46.0,54.0,54.0,61.0,2.0,343.0
2020-04-05,60,47.0,32.0,44.0,41.0,47.0,1.0,272.0
2020-04-12,50,48.0,27.0,33.0,35.0,35.0,1.0,229.0
2020-04-19,43,45.0,26.0,28.0,30.0,33.0,0.0,205.0
2020-04-26,39,52.0,24.0,26.0,29.0,27.0,1.0,198.0
2020-05-03,36,42.0,25.0,22.0,26.0,22.0,0.0,173.0
2020-05-10,35,41.0,23.0,21.0,24.0,22.0,1.0,167.0
2020-05-17,33,39.0,22.0,21.0,25.0,19.0,1.0,160.0
2020-05-24,35,54.0,23.0,19.0,24.0,15.0,0.0,170.0
2020-05-31,29,42.0,23.0,18.0,22.0,10.0,0.0,144.0
2020-06-07,31,42.0,23.0,17.0,21.0,11.0,1.0,146.0
2020-06-14,30,52.0,24.0,18.0,22.0,10.0,1.0,157.0
2020-06-21,32,46.0,26.0,18.0,21.0,14.0,0.0,157.0
2020-06-28,34,44.0,26.0,17.0,26.0,23.0,0.0,170.0
2020-07-05,31,44.0,28.0,19.0,23.0,14.0,0.0,159.0
2020-07-12,31,45.0,26.0,17.0,26.0,12.0,1.0,158.0
2020-07-19,31,47.0,24.0,18.0,23.0,13.0,1.0,157.0
2020-07-26,33,50.0,25.0,18.0,23.0,11.0,0.0,160.0
2020-08-02,30,43.0,24.0,18.0,26.0,12.0,1.0,154.0
2020-08-09,29,51.0,25.0,19.0,23.0,13.0,1.0,161.0
2020-08-16,25,45.0,22.0,20.0,25.0,12.0,0.0,149.0
2020-08-23,24,42.0,26.0,19.0,25.0,12.0,0.0,148.0
2020-08-30,25,42.0,26.0,20.0,23.0,13.0,1.0,150.0
2020-09-06,28,40.0,26.0,20.0,24.0,20.0,1.0,159.0
2020-09-13,43,49.0,28.0,21.0,27.0,21.0,1.0,190.0
2020-09-20,46,51.0,33.0,25.0,32.0,35.0,1.0,223.0
2020-09-27,56,56.0,35.0,31.0,31.0,30.0,0.0,239.0
2020-10-04,49,56.0,32.0,30.0,31.0,68.0,1.0,267.0
2020-10-11,40,53.0,32.0,32.0,30.0,90.0,2.0,279.0
2020-10-18,34,50.0,29.0,29.0,27.0,85.0,1.0,255.0
2020-10-25,36,50.0,28.0,26.0,25.0,70.0,1.0,236.0
2020-11-01,29,43.0,24.0,21.0,21.0,55.0,1.0,194.0
2020-11-08,45,50.0,28.0,25.0,23.0,44.0,1.0,216.0
2020-11-15,47,56.0,28.0,24.0,26.0,39.0,1.0,221.0
2020-11-22,43,44.0,28.0,25.0,22.0,27.0,1.0,190.0
2020-11-29,41,53.0,29.0,24.0,24.0,25.0,1.0,197.0
2020-12-06,50,50.0,30.0,27.0,27.0,27.0,1.0,212.0
2020-12-13,51,50.0,30.0,23.0,24.0,24.0,1.0,203.0
2020-12-20,47,40.0,30.0,25.0,28.0,20.0,1.0,191.0
2020-12-27,43,44.0,29.0,24.0,25.0,20.0,1.0,186.0
2021-01-03,44,46.0,29.0,22.0,24.0,17.0,1.0,183.0
2021-01-10,53,50.0,28.0,23.0,21.0,18.0,1.0,194.0
2021-01-17,41,50.0,26.0,23.0,22.0,13.0,1.0,176.0
2021-01-24,40,52.0,26.0,19.0,22.0,12.0,1.0,172.0
2021-01-31,36,51.0,27.0,20.0,21.0,12.0,1.0,168.0
2021-02-07,36,49.0,26.0,19.0,21.0,11.0,1.0,163.0
2021-02-14,33,53.0,26.0,17.0,20.0,10.0,0.0,159.0
2021-02-21,36,49.0,25.0,18.0,21.0,11.0,0.0,160.0
2021-02-28,39,45.0,25.0,18.0,20.0,10.0,1.0,158.0
2021-03-07,43,46.0,29.0,18.0,22.0,10.0,1.0,169.0
2021-03-14,44,47.0,29.0,23.0,22.0,10.0,0.0,175.0
2021-03-21,47,53.0,29.0,20.0,26.0,9.0,1.0,185.0
2021-03-28,58,50.0,31.0,22.0,22.0,12.0,1.0,196.0
2021-04-04,71,57.0,32.0,27.0,29.0,13.0,1.0,230.0
2021-04-11,69,58.0,32.0,23.0,29.0,14.0,1.0,226.0
2021-04-18,65,68.0,33.0,24.0,30.0,13.0,1.0,234.0
2021-04-25,67,99.0,30.0,26.0,28.0,13.0,1.0,264.0
2021-05-02,61,76.0,29.0,23.0,28.0,10.0,1.0,228.0
2021-05-09,53,64.0,31.0,21.0,23.0,9.0,1.0,202.0
2021-05-16,50,59.0,26.0,20.0,24.0,10.0,1.0,190.0
2021-05-23,45,57.0,24.0,20.0,22.0,8.0,0.0,176.0
2021-05-30,49,57.0,25.0,19.0,20.0,17.0,0.0,187.0
2021-06-06,45,52.0,26.0,20.0,21.0,6.0,1.0,171.0
2021-06-13,46,52.0,26.0,19.0,26.0,6.0,1.0,176.0
2021-06-20,45,56.0,24.0,17.0,28.0,6.0,1.0,177.0
2021-06-27,38,53.0,26.0,17.0,29.0,5.0,2.0,170.0
2021-07-04,37,61.0,26.0,21.0,31.0,6.0,2.0,184.0
2021-07-11,35,61.0,25.0,21.0,30.0,6.0,2.0,180.0
2021-07-18,31,53.0,27.0,26.0,26.0,6.0,5.0,174.0
2021-07-25,32,59.0,28.0,23.0,25.0,6.0,4.0,177.0
2021-08-01,36,57.0,27.0,28.0,26.0,7.0,3.0,184.0
2021-08-08,37,57.0,28.0,32.0,26.0,8.0,4.0,192.0
2021-08-15,50,58.0,30.0,36.0,29.0,7.0,3.0,213.0
2021-08-22,41,53.0,30.0,39.0,26.0,9.0,4.0,202.0
2021-08-29,44,55.0,30.0,32.0,26.0,11.0,3.0,201.0
2021-09-05,36,49.0,29.0,34.0,25.0,10.0,2.0,185.0
2021-09-12,37,54.0,30.0,39.0,29.0,10.0,6.0,205.0
2021-09-19,39,62.0,28.0,45.0,28.0,13.0,5.0,220.0
2021-09-26,34,63.0,27.0,47.0,26.0,15.0,5.0,217.0
2021-10-03,30,57.0,28.0,48.0,31.0,16.0,4.0,214.0
2021-10-10,30,58.0,27.0,50.0,29.0,29.0,4.0,227.0
2021-10-17,32,61.0,27.0,46.0,28.0,35.0,5.0,234.0
2021-10-24,26,60.0,25.0,42.0,27.0,32.0,3.0,215.0
2021-10-31,25,64.0,29.0,48.0,27.0,41.0,5.0,239.0
