,Category: All categories,education,abuse,alcohol,divorce,allsocialstressors
2018-01-07,22,65.0,85.0,49.0,53.0,274.0
2018-01-14,21,65.0,99.0,57.0,52.0,294.0
2018-01-21,21,60.0,100.0,53.0,58.0,292.0
2018-01-28,22,61.0,89.0,52.0,54.0,278.0
2018-02-04,21,62.0,82.0,52.0,54.0,271.0
2018-02-11,22,56.0,76.0,49.0,61.0,264.0
2018-02-18,21,54.0,66.0,56.0,58.0,255.0
2018-02-25,22,64.0,70.0,53.0,56.0,265.0
2018-03-04,21,55.0,77.0,53.0,57.0,263.0
2018-03-11,23,51.0,70.0,61.0,78.0,283.0
2018-03-18,22,61.0,78.0,59.0,75.0,295.0
2018-03-25,22,56.0,78.0,60.0,64.0,280.0
2018-04-01,20,55.0,72.0,55.0,62.0,264.0
2018-04-08,20,57.0,80.0,52.0,62.0,271.0
2018-04-15,20,55.0,67.0,55.0,66.0,263.0
2018-04-22,21,53.0,72.0,51.0,52.0,249.0
2018-04-29,21,56.0,70.0,50.0,56.0,253.0
2018-05-06,22,58.0,68.0,53.0,56.0,257.0
2018-05-13,21,51.0,55.0,50.0,54.0,231.0
2018-05-20,21,51.0,79.0,55.0,64.0,270.0
2018-05-27,21,59.0,65.0,52.0,57.0,254.0
2018-06-03,22,67.0,74.0,53.0,53.0,269.0
2018-06-10,23,58.0,70.0,59.0,62.0,272.0
2018-06-17,23,52.0,77.0,52.0,61.0,265.0
2018-06-24,23,48.0,58.0,53.0,47.0,229.0
2018-07-01,24,42.0,49.0,52.0,59.0,226.0
2018-07-08,23,54.0,60.0,57.0,63.0,257.0
2018-07-15,24,52.0,59.0,54.0,57.0,246.0
2018-07-22,22,46.0,55.0,52.0,61.0,236.0
2018-07-29,23,43.0,57.0,54.0,57.0,234.0
2018-08-05,22,41.0,53.0,62.0,57.0,235.0
2018-08-12,22,43.0,63.0,54.0,58.0,240.0
2018-08-19,24,51.0,58.0,57.0,58.0,248.0
2018-08-26,24,50.0,67.0,52.0,50.0,243.0
2018-09-02,22,61.0,49.0,50.0,43.0,225.0
2018-09-09,23,67.0,59.0,48.0,53.0,250.0
2018-09-16,23,69.0,65.0,57.0,54.0,268.0
2018-09-23,22,66.0,70.0,53.0,58.0,269.0
2018-09-30,21,58.0,67.0,57.0,47.0,250.0
2018-10-07,22,53.0,72.0,60.0,48.0,255.0
2018-10-14,22,58.0,70.0,59.0,49.0,258.0
2018-10-21,22,57.0,63.0,56.0,49.0,247.0
2018-10-28,24,55.0,69.0,53.0,53.0,254.0
2018-11-04,24,64.0,77.0,57.0,54.0,276.0
2018-11-11,22,55.0,72.0,54.0,43.0,246.0
2018-11-18,21,54.0,78.0,51.0,45.0,249.0
2018-11-25,22,61.0,73.0,60.0,51.0,267.0
2018-12-02,21,58.0,73.0,59.0,54.0,265.0
2018-12-09,23,49.0,66.0,62.0,48.0,248.0
2018-12-16,25,48.0,58.0,72.0,49.0,252.0
2018-12-23,23,26.0,42.0,75.0,47.0,213.0
2018-12-30,22,35.0,43.0,76.0,52.0,228.0
2019-01-06,23,67.0,71.0,60.0,71.0,292.0
2019-01-13,23,95.0,74.0,61.0,65.0,318.0
2019-01-20,22,80.0,74.0,55.0,51.0,282.0
2019-01-27,22,71.0,63.0,49.0,52.0,257.0
2019-02-03,21,69.0,65.0,56.0,59.0,270.0
2019-02-10,22,60.0,55.0,56.0,57.0,250.0
2019-02-17,23,58.0,88.0,58.0,58.0,285.0
2019-02-24,22,65.0,65.0,55.0,53.0,260.0
2019-03-03,22,59.0,81.0,57.0,49.0,268.0
2019-03-10,23,75.0,74.0,54.0,55.0,281.0
2019-03-17,22,78.0,69.0,57.0,55.0,281.0
2019-03-24,22,79.0,78.0,59.0,57.0,295.0
2019-03-31,22,99.0,72.0,57.0,63.0,313.0
2019-04-07,23,79.0,75.0,56.0,58.0,291.0
2019-04-14,22,56.0,57.0,57.0,55.0,247.0
2019-04-21,23,53.0,62.0,53.0,59.0,250.0
2019-04-28,23,61.0,63.0,55.0,51.0,253.0
2019-05-05,24,57.0,59.0,50.0,55.0,245.0
2019-05-12,24,56.0,65.0,59.0,50.0,254.0
2019-05-19,23,53.0,66.0,62.0,51.0,255.0
2019-05-26,22,56.0,62.0,55.0,50.0,245.0
2019-06-02,22,55.0,68.0,58.0,55.0,258.0
2019-06-09,22,51.0,73.0,57.0,51.0,254.0
2019-06-16,22,54.0,54.0,58.0,47.0,235.0
2019-06-23,26,48.0,59.0,53.0,53.0,239.0
2019-06-30,24,41.0,46.0,62.0,54.0,227.0
2019-07-07,25,47.0,46.0,58.0,58.0,234.0
2019-07-14,23,45.0,53.0,61.0,59.0,241.0
2019-07-21,25,38.0,56.0,63.0,63.0,245.0
2019-07-28,25,41.0,39.0,60.0,55.0,220.0
2019-08-04,23,37.0,43.0,60.0,59.0,222.0
2019-08-11,25,41.0,47.0,58.0,55.0,226.0
2019-08-18,25,51.0,50.0,61.0,60.0,247.0
2019-08-25,25,54.0,56.0,53.0,54.0,242.0
2019-09-01,24,63.0,49.0,51.0,54.0,241.0
2019-09-08,26,70.0,51.0,54.0,57.0,258.0
2019-09-15,25,66.0,51.0,57.0,50.0,249.0
2019-09-22,25,66.0,57.0,58.0,49.0,255.0
2019-09-29,23,71.0,61.0,50.0,52.0,257.0
2019-10-06,25,70.0,64.0,51.0,51.0,261.0
2019-10-13,25,54.0,54.0,55.0,53.0,241.0
2019-10-20,25,60.0,66.0,52.0,49.0,252.0
2019-10-27,25,61.0,72.0,54.0,50.0,262.0
2019-11-03,26,63.0,66.0,55.0,51.0,261.0
2019-11-10,23,57.0,64.0,54.0,52.0,250.0
2019-11-17,26,60.0,69.0,56.0,51.0,262.0
2019-11-24,25,57.0,80.0,50.0,53.0,265.0
2019-12-01,23,64.0,74.0,51.0,53.0,265.0
2019-12-08,26,55.0,70.0,56.0,55.0,262.0
2019-12-15,27,49.0,65.0,61.0,58.0,260.0
2019-12-22,29,28.0,44.0,77.0,60.0,238.0
2019-12-29,26,33.0,56.0,78.0,63.0,256.0
2020-01-05,27,62.0,61.0,56.0,68.0,274.0
2020-01-12,27,84.0,74.0,57.0,66.0,308.0
2020-01-19,26,99.0,73.0,58.0,61.0,317.0
2020-01-26,27,81.0,62.0,69.0,63.0,302.0
2020-02-02,26,82.0,68.0,60.0,59.0,295.0
2020-02-09,26,72.0,66.0,58.0,65.0,287.0
2020-02-16,25,63.0,61.0,55.0,63.0,267.0
2020-02-23,25,70.0,68.0,61.0,68.0,292.0
2020-03-01,27,70.0,74.0,77.0,66.0,314.0
2020-03-08,31,60.0,63.0,100.0,50.0,304.0
2020-03-15,39,68.0,50.0,96.0,50.0,303.0
2020-03-22,37,67.0,53.0,96.0,45.0,298.0
2020-03-29,34,68.0,60.0,88.0,54.0,304.0
2020-04-05,31,58.0,62.0,78.0,65.0,294.0
2020-04-12,31,54.0,69.0,77.0,54.0,285.0
2020-04-19,29,56.0,61.0,69.0,50.0,265.0
2020-04-26,30,66.0,49.0,63.0,56.0,264.0
2020-05-03,31,60.0,50.0,63.0,56.0,260.0
2020-05-10,30,61.0,60.0,65.0,49.0,265.0
2020-05-17,30,58.0,55.0,67.0,57.0,267.0
2020-05-24,32,52.0,56.0,61.0,63.0,264.0
2020-05-31,29,55.0,56.0,57.0,58.0,255.0
2020-06-07,30,54.0,68.0,58.0,69.0,279.0
2020-06-14,32,59.0,68.0,60.0,63.0,282.0
2020-06-21,31,54.0,62.0,62.0,57.0,266.0
2020-06-28,34,46.0,58.0,67.0,68.0,273.0
2020-07-05,33,54.0,54.0,61.0,69.0,271.0
2020-07-12,31,54.0,65.0,61.0,63.0,274.0
2020-07-19,29,52.0,60.0,74.0,74.0,289.0
2020-07-26,27,65.0,56.0,69.0,60.0,277.0
2020-08-02,29,51.0,64.0,63.0,58.0,265.0
2020-08-09,30,56.0,57.0,60.0,75.0,278.0
2020-08-16,29,56.0,51.0,59.0,67.0,262.0
2020-08-23,32,53.0,53.0,57.0,70.0,265.0
2020-08-30,31,57.0,49.0,56.0,68.0,261.0
2020-09-06,29,58.0,49.0,56.0,60.0,252.0
2020-09-13,28,63.0,56.0,52.0,68.0,267.0
2020-09-20,34,63.0,60.0,52.0,60.0,269.0
2020-09-27,35,57.0,62.0,51.0,54.0,259.0
2020-10-04,37,58.0,64.0,56.0,63.0,278.0
2020-10-11,41,50.0,59.0,58.0,63.0,271.0
2020-10-18,36,52.0,68.0,57.0,66.0,279.0
2020-10-25,36,47.0,72.0,52.0,58.0,265.0
2020-11-01,32,48.0,60.0,50.0,58.0,248.0
2020-11-08,32,52.0,80.0,55.0,80.0,299.0
2020-11-15,33,49.0,62.0,53.0,64.0,261.0
2020-11-22,30,46.0,55.0,52.0,58.0,241.0
2020-11-29,32,49.0,66.0,57.0,60.0,264.0
2020-12-06,31,47.0,64.0,59.0,65.0,266.0
2020-12-13,34,46.0,70.0,60.0,59.0,269.0
2020-12-20,32,30.0,50.0,65.0,55.0,232.0
2020-12-27,29,30.0,46.0,71.0,54.0,230.0
2021-01-03,32,58.0,58.0,55.0,92.0,295.0
2021-01-10,30,54.0,62.0,54.0,69.0,269.0
2021-01-17,30,62.0,67.0,48.0,63.0,270.0
2021-01-24,28,48.0,58.0,57.0,58.0,249.0
2021-01-31,27,59.0,62.0,53.0,59.0,260.0
2021-02-07,28,46.0,55.0,47.0,58.0,234.0
2021-02-14,28,48.0,55.0,56.0,67.0,254.0
2021-02-21,30,51.0,60.0,52.0,66.0,259.0
2021-02-28,31,49.0,63.0,52.0,56.0,251.0
2021-03-07,40,49.0,54.0,46.0,59.0,248.0
2021-03-14,37,47.0,61.0,51.0,56.0,252.0
2021-03-21,43,48.0,62.0,49.0,50.0,252.0
2021-03-28,46,50.0,58.0,55.0,53.0,262.0
2021-04-04,50,47.0,57.0,53.0,52.0,259.0
2021-04-11,40,42.0,48.0,54.0,51.0,235.0
2021-04-18,67,46.0,50.0,51.0,47.0,261.0
2021-04-25,46,45.0,56.0,53.0,53.0,253.0
2021-05-02,42,49.0,54.0,53.0,100.0,298.0
2021-05-09,42,47.0,52.0,54.0,63.0,258.0
2021-05-16,45,41.0,50.0,55.0,56.0,247.0
2021-05-23,45,43.0,55.0,55.0,52.0,250.0
2021-05-30,50,47.0,66.0,57.0,53.0,273.0
2021-06-06,70,37.0,60.0,59.0,55.0,281.0
2021-06-13,66,42.0,52.0,63.0,47.0,270.0
2021-06-20,59,37.0,53.0,53.0,50.0,252.0
2021-06-27,54,31.0,49.0,63.0,54.0,251.0
2021-07-04,49,38.0,43.0,55.0,54.0,239.0
2021-07-11,42,36.0,66.0,60.0,55.0,259.0
2021-07-18,37,34.0,55.0,58.0,57.0,241.0
2021-07-25,35,36.0,42.0,53.0,59.0,225.0
2021-08-01,36,33.0,42.0,52.0,57.0,220.0
2021-08-08,38,35.0,50.0,61.0,63.0,247.0
2021-08-15,39,40.0,51.0,59.0,59.0,248.0
2021-08-22,39,39.0,44.0,61.0,56.0,239.0
2021-08-29,39,42.0,40.0,55.0,57.0,233.0
2021-09-05,39,50.0,47.0,52.0,54.0,242.0
2021-09-12,38,60.0,51.0,49.0,50.0,248.0
2021-09-19,40,88.0,47.0,49.0,53.0,277.0
2021-09-26,38,69.0,60.0,58.0,48.0,273.0
2021-10-03,37,59.0,61.0,53.0,51.0,261.0
2021-10-10,41,55.0,62.0,58.0,54.0,270.0
2021-10-17,41,54.0,60.0,51.0,47.0,253.0
2021-10-24,37,49.0,72.0,58.0,56.0,272.0
2021-10-31,42,53.0,71.0,58.0,53.0,277.0
2021-11-07,41,50.0,64.0,49.0,55.0,259.0
2021-11-14,40,50.0,63.0,51.0,59.0,263.0
2021-11-21,40,48.0,59.0,56.0,59.0,262.0
2021-11-28,43,48.0,58.0,55.0,46.0,250.0
2021-12-05,50,48.0,59.0,58.0,54.0,269.0
2021-12-12,91,40.0,63.0,54.0,53.0,301.0
2021-12-19,100,29.0,41.0,62.0,46.0,278.0
2021-12-26,83,31.0,38.0,72.0,56.0,280.0
2022-01-02,62,56.0,52.0,65.0,52.0,287.0
2022-01-09,52,68.0,59.0,63.0,58.0,300.0
2022-01-16,40,54.0,61.0,55.0,57.0,267.0
2022-01-23,38,57.0,59.0,58.0,54.0,266.0
2022-01-30,37,57.0,55.0,58.0,59.0,266.0
2022-02-06,41,56.0,59.0,58.0,57.0,271.0
2022-02-13,34,55.0,64.0,58.0,52.0,263.0
2022-02-20,37,56.0,62.0,65.0,50.0,270.0
2022-02-27,33,57.0,70.0,61.0,58.0,279.0
2022-03-06,34,57.0,78.0,60.0,57.0,286.0
2022-03-13,33,51.0,69.0,59.0,52.0,264.0
2022-03-20,33,57.0,75.0,62.0,59.0,286.0
2022-03-27,33,66.0,78.0,64.0,51.0,292.0
2022-04-03,36,69.0,73.0,61.0,52.0,291.0
2022-04-10,38,60.0,69.0,62.0,53.0,282.0
2022-04-17,36,62.0,72.0,61.0,60.0,291.0
2022-04-24,33,64.0,75.0,55.0,56.0,283.0
2022-05-01,34,60.0,74.0,58.0,61.0,287.0
2022-05-08,33,63.0,64.0,58.0,52.0,270.0
2022-05-15,33,62.0,71.0,59.0,50.0,275.0
2022-05-22,33,57.0,69.0,59.0,47.0,265.0
2022-05-29,33,64.0,75.0,58.0,54.0,284.0
2022-06-05,35,62.0,68.0,61.0,56.0,282.0
2022-06-12,33,62.0,75.0,60.0,51.0,281.0
2022-06-19,33,59.0,58.0,62.0,52.0,264.0
2022-06-26,34,53.0,55.0,70.0,43.0,255.0
2022-07-03,38,44.0,50.0,57.0,52.0,241.0
2022-07-10,38,44.0,51.0,61.0,54.0,248.0
2022-07-17,38,44.0,64.0,63.0,54.0,263.0
2022-07-24,38,43.0,51.0,63.0,56.0,251.0
2022-07-31,35,44.0,52.0,72.0,54.0,257.0
2022-08-07,34,44.0,51.0,60.0,52.0,241.0
2022-08-14,38,50.0,64.0,63.0,55.0,270.0
2022-08-21,34,51.0,54.0,58.0,61.0,258.0
2022-08-28,35,54.0,57.0,75.0,55.0,276.0
2022-09-04,34,54.0,52.0,62.0,56.0,258.0
2022-09-11,33,61.0,59.0,55.0,51.0,259.0
2022-09-18,34,65.0,55.0,57.0,65.0,276.0
2022-09-25,37,60.0,56.0,55.0,54.0,262.0
2022-10-02,36,65.0,63.0,56.0,65.0,285.0
2022-10-09,37,61.0,62.0,57.0,50.0,267.0
2022-10-16,42,69.0,63.0,55.0,45.0,274.0
2022-10-23,42,63.0,71.0,59.0,57.0,292.0
2022-10-30,44,100.0,68.0,58.0,55.0,325.0
2022-11-06,45,78.0,69.0,56.0,58.0,306.0
2022-11-13,42,65.0,66.0,59.0,55.0,287.0
2022-11-20,37,69.0,66.0,57.0,42.0,271.0
2022-11-27,35,60.0,73.0,58.0,51.0,277.0
2022-12-04,35,63.0,62.0,56.0,53.0,269.0
2022-12-11,34,58.0,63.0,61.0,48.0,264.0
2022-12-18,35,44.0,59.0,64.0,44.0,246.0
2022-12-25,35,31.0,46.0,78.0,49.0,239.0
2023-01-01,36,42.0,50.0,75.0,48.0,251.0
2023-01-08,32,66.0,72.0,61.0,54.0,285.0
2023-01-15,33,67.0,69.0,88.0,57.0,314.0
2023-01-22,30,69.0,65.0,71.0,54.0,289.0
2023-01-29,30,62.0,67.0,67.0,53.0,279.0
2023-02-05,31,62.0,62.0,61.0,51.0,267.0
2023-02-12,31,60.0,59.0,62.0,51.0,263.0
2023-02-19,32,62.0,71.0,70.0,53.0,288.0
2023-02-26,31,65.0,55.0,64.0,55.0,270.0
