,Category: All categories,cbt,selfcare,counselling,crisishotline,helpline,mindfulness,alltreatmentseeking
2018-01-07,0,46.0,32.0,99.0,0.0,36.0,72.0,285.0
2018-01-14,69,51.0,36.0,95.0,33.0,37.0,83.0,404.0
2018-01-21,68,66.0,13.0,84.0,0.0,43.0,69.0,343.0
2018-01-28,39,58.0,34.0,92.0,0.0,79.0,83.0,385.0
2018-02-04,0,55.0,45.0,97.0,29.0,54.0,84.0,364.0
2018-02-11,39,53.0,29.0,90.0,0.0,52.0,81.0,344.0
2018-02-18,47,59.0,41.0,100.0,0.0,58.0,93.0,398.0
2018-02-25,61,61.0,39.0,99.0,0.0,39.0,85.0,384.0
2018-03-04,57,62.0,28.0,100.0,0.0,54.0,86.0,387.0
2018-03-11,48,47.0,35.0,86.0,20.0,42.0,68.0,346.0
2018-03-18,19,59.0,21.0,96.0,0.0,37.0,74.0,306.0
2018-03-25,72,63.0,32.0,94.0,0.0,48.0,65.0,374.0
2018-04-01,22,45.0,18.0,85.0,24.0,52.0,84.0,330.0
2018-04-08,50,64.0,17.0,96.0,36.0,21.0,84.0,368.0
2018-04-15,36,57.0,31.0,86.0,0.0,56.0,65.0,331.0
2018-04-22,0,40.0,23.0,77.0,27.0,65.0,80.0,312.0
2018-04-29,13,41.0,46.0,92.0,0.0,46.0,86.0,324.0
2018-05-06,62,47.0,37.0,89.0,25.0,55.0,72.0,387.0
2018-05-13,60,32.0,18.0,73.0,0.0,41.0,48.0,272.0
2018-05-20,37,52.0,25.0,92.0,20.0,16.0,54.0,296.0
2018-05-27,34,54.0,20.0,99.0,0.0,44.0,61.0,312.0
2018-06-03,45,50.0,25.0,84.0,47.0,58.0,73.0,382.0
2018-06-10,84,44.0,35.0,74.0,0.0,41.0,45.0,323.0
2018-06-17,48,43.0,17.0,69.0,0.0,37.0,52.0,266.0
2018-06-24,0,58.0,34.0,70.0,26.0,44.0,47.0,279.0
2018-07-01,49,35.0,8.0,55.0,0.0,43.0,51.0,241.0
2018-07-08,68,45.0,33.0,79.0,0.0,33.0,56.0,314.0
2018-07-15,35,49.0,37.0,76.0,22.0,69.0,51.0,339.0
2018-07-22,32,47.0,35.0,74.0,26.0,36.0,75.0,325.0
2018-07-29,67,40.0,28.0,65.0,0.0,49.0,65.0,314.0
2018-08-05,35,45.0,25.0,72.0,0.0,44.0,54.0,275.0
2018-08-12,36,51.0,21.0,73.0,0.0,39.0,57.0,277.0
2018-08-19,26,30.0,37.0,71.0,30.0,47.0,55.0,296.0
2018-08-26,31,59.0,20.0,73.0,0.0,47.0,53.0,283.0
2018-09-02,0,47.0,45.0,71.0,20.0,54.0,60.0,297.0
2018-09-09,51,45.0,64.0,99.0,100.0,41.0,86.0,486.0
2018-09-16,65,63.0,37.0,79.0,0.0,45.0,83.0,372.0
2018-09-23,24,60.0,36.0,75.0,19.0,31.0,75.0,320.0
2018-09-30,46,55.0,33.0,75.0,0.0,33.0,97.0,339.0
2018-10-07,74,51.0,0.0,74.0,42.0,29.0,92.0,362.0
2018-10-14,26,49.0,35.0,74.0,0.0,45.0,93.0,322.0
2018-10-21,65,61.0,32.0,76.0,0.0,58.0,76.0,368.0
2018-10-28,35,64.0,43.0,81.0,0.0,44.0,64.0,331.0
2018-11-04,51,77.0,56.0,88.0,26.0,49.0,82.0,429.0
2018-11-11,37,65.0,34.0,87.0,42.0,38.0,73.0,376.0
2018-11-18,43,65.0,35.0,83.0,40.0,64.0,88.0,418.0
2018-11-25,78,59.0,46.0,90.0,19.0,65.0,83.0,440.0
2018-12-02,59,58.0,29.0,81.0,33.0,61.0,73.0,394.0
2018-12-09,41,57.0,40.0,70.0,0.0,37.0,65.0,310.0
2018-12-16,39,38.0,28.0,61.0,0.0,65.0,70.0,301.0
2018-12-23,26,25.0,21.0,35.0,0.0,25.0,36.0,168.0
2018-12-30,19,47.0,40.0,60.0,47.0,66.0,43.0,322.0
2019-01-06,33,52.0,35.0,87.0,24.0,56.0,85.0,372.0
2019-01-13,51,72.0,29.0,81.0,0.0,67.0,68.0,368.0
2019-01-20,47,78.0,34.0,73.0,36.0,57.0,62.0,387.0
2019-01-27,42,73.0,48.0,88.0,30.0,61.0,75.0,417.0
2019-02-03,44,61.0,43.0,80.0,0.0,31.0,97.0,356.0
2019-02-10,50,52.0,36.0,78.0,26.0,35.0,64.0,341.0
2019-02-17,20,45.0,33.0,69.0,30.0,44.0,60.0,301.0
2019-02-24,53,56.0,41.0,74.0,0.0,39.0,67.0,330.0
2019-03-03,44,63.0,42.0,85.0,84.0,86.0,60.0,464.0
2019-03-10,52,73.0,22.0,91.0,0.0,37.0,61.0,336.0
2019-03-17,36,57.0,30.0,79.0,0.0,83.0,100.0,385.0
2019-03-24,22,64.0,51.0,86.0,0.0,42.0,77.0,342.0
2019-03-31,45,50.0,29.0,72.0,36.0,67.0,86.0,385.0
2019-04-07,40,57.0,30.0,85.0,0.0,61.0,75.0,348.0
2019-04-14,40,48.0,46.0,71.0,0.0,63.0,58.0,326.0
2019-04-21,0,44.0,22.0,79.0,24.0,47.0,69.0,285.0
2019-04-28,36,61.0,26.0,74.0,26.0,44.0,72.0,339.0
2019-05-05,57,54.0,34.0,73.0,0.0,70.0,70.0,358.0
2019-05-12,42,66.0,43.0,64.0,17.0,45.0,71.0,348.0
2019-05-19,61,63.0,28.0,75.0,0.0,69.0,71.0,367.0
2019-05-26,44,60.0,33.0,75.0,37.0,40.0,55.0,344.0
2019-06-02,43,55.0,21.0,73.0,0.0,51.0,53.0,296.0
2019-06-09,0,68.0,26.0,72.0,34.0,59.0,76.0,335.0
2019-06-16,28,64.0,37.0,81.0,0.0,55.0,61.0,326.0
2019-06-23,42,47.0,31.0,68.0,21.0,65.0,54.0,328.0
2019-06-30,18,37.0,31.0,69.0,18.0,57.0,45.0,275.0
2019-07-07,35,57.0,41.0,66.0,63.0,65.0,57.0,384.0
2019-07-14,19,60.0,30.0,70.0,96.0,44.0,60.0,379.0
2019-07-21,43,56.0,40.0,78.0,42.0,65.0,54.0,378.0
2019-07-28,78,66.0,40.0,68.0,17.0,63.0,46.0,378.0
2019-08-04,56,45.0,40.0,61.0,0.0,60.0,38.0,300.0
2019-08-11,0,43.0,27.0,73.0,0.0,51.0,63.0,257.0
2019-08-18,21,58.0,16.0,78.0,0.0,64.0,54.0,291.0
2019-08-25,12,55.0,19.0,70.0,21.0,44.0,57.0,278.0
2019-09-01,40,31.0,32.0,79.0,0.0,41.0,75.0,298.0
2019-09-08,21,58.0,22.0,83.0,0.0,62.0,90.0,336.0
2019-09-15,74,82.0,47.0,87.0,29.0,42.0,77.0,438.0
2019-09-22,57,65.0,34.0,85.0,0.0,57.0,90.0,388.0
2019-09-29,38,57.0,37.0,98.0,0.0,58.0,81.0,369.0
2019-10-06,93,63.0,24.0,81.0,0.0,33.0,65.0,359.0
2019-10-13,50,63.0,49.0,77.0,0.0,24.0,99.0,362.0
2019-10-20,0,56.0,18.0,83.0,0.0,63.0,83.0,303.0
2019-10-27,33,62.0,28.0,79.0,0.0,64.0,73.0,339.0
2019-11-03,71,63.0,41.0,84.0,0.0,67.0,77.0,403.0
2019-11-10,48,49.0,26.0,94.0,16.0,45.0,80.0,358.0
2019-11-17,80,69.0,41.0,83.0,0.0,59.0,84.0,416.0
2019-11-24,51,57.0,38.0,74.0,17.0,53.0,87.0,377.0
2019-12-01,54,58.0,48.0,81.0,0.0,49.0,85.0,375.0
2019-12-08,46,53.0,36.0,77.0,0.0,50.0,62.0,324.0
2019-12-15,26,51.0,40.0,70.0,0.0,43.0,64.0,294.0
2019-12-22,40,32.0,36.0,33.0,0.0,22.0,39.0,202.0
2019-12-29,48,43.0,41.0,48.0,0.0,51.0,42.0,273.0
2020-01-05,44,60.0,41.0,98.0,15.0,61.0,68.0,387.0
2020-01-12,53,53.0,44.0,85.0,26.0,64.0,84.0,409.0
2020-01-19,68,66.0,39.0,79.0,0.0,67.0,46.0,365.0
2020-01-26,38,65.0,48.0,89.0,0.0,48.0,80.0,368.0
2020-02-02,66,85.0,36.0,91.0,0.0,41.0,59.0,378.0
2020-02-09,25,79.0,31.0,85.0,21.0,45.0,79.0,365.0
2020-02-16,65,68.0,30.0,78.0,0.0,50.0,67.0,358.0
2020-02-23,0,57.0,49.0,86.0,19.0,55.0,83.0,349.0
2020-03-01,81,60.0,42.0,86.0,0.0,51.0,71.0,391.0
2020-03-08,51,76.0,45.0,79.0,0.0,44.0,70.0,365.0
2020-03-15,28,46.0,100.0,58.0,0.0,76.0,57.0,365.0
2020-03-22,60,32.0,66.0,49.0,21.0,76.0,62.0,366.0
2020-03-29,57,46.0,54.0,45.0,13.0,100.0,60.0,375.0
2020-04-05,0,46.0,50.0,40.0,31.0,96.0,49.0,312.0
2020-04-12,67,48.0,61.0,45.0,29.0,84.0,77.0,411.0
2020-04-19,18,34.0,55.0,49.0,36.0,89.0,75.0,356.0
2020-04-26,49,40.0,54.0,46.0,78.0,79.0,70.0,416.0
2020-05-03,43,54.0,48.0,58.0,16.0,62.0,68.0,349.0
2020-05-10,57,49.0,37.0,55.0,29.0,61.0,60.0,348.0
2020-05-17,60,58.0,36.0,51.0,0.0,81.0,67.0,353.0
2020-05-24,20,47.0,33.0,49.0,0.0,56.0,54.0,259.0
2020-05-31,51,60.0,34.0,53.0,0.0,67.0,77.0,342.0
2020-06-07,54,47.0,34.0,50.0,36.0,63.0,52.0,336.0
2020-06-14,57,47.0,39.0,60.0,21.0,77.0,61.0,362.0
2020-06-21,59,48.0,16.0,64.0,0.0,58.0,48.0,293.0
2020-06-28,13,40.0,29.0,57.0,0.0,60.0,48.0,247.0
2020-07-05,0,59.0,33.0,66.0,0.0,53.0,43.0,254.0
2020-07-12,22,56.0,24.0,68.0,17.0,74.0,64.0,325.0
2020-07-19,56,48.0,54.0,69.0,0.0,41.0,49.0,317.0
2020-07-26,45,55.0,31.0,67.0,0.0,69.0,61.0,328.0
2020-08-02,42,48.0,34.0,69.0,0.0,54.0,50.0,297.0
2020-08-09,43,60.0,35.0,64.0,0.0,45.0,48.0,295.0
2020-08-16,30,43.0,35.0,72.0,20.0,37.0,40.0,277.0
2020-08-23,53,59.0,38.0,56.0,0.0,65.0,55.0,326.0
2020-08-30,38,46.0,30.0,60.0,28.0,68.0,39.0,309.0
2020-09-06,36,55.0,27.0,75.0,51.0,69.0,50.0,363.0
2020-09-13,35,61.0,46.0,82.0,0.0,57.0,78.0,359.0
2020-09-20,23,57.0,63.0,75.0,0.0,66.0,65.0,349.0
2020-09-27,54,48.0,44.0,69.0,27.0,55.0,71.0,368.0
2020-10-04,51,61.0,49.0,70.0,0.0,60.0,62.0,353.0
2020-10-11,33,47.0,32.0,77.0,0.0,24.0,66.0,279.0
2020-10-18,59,69.0,42.0,90.0,0.0,47.0,64.0,371.0
2020-10-25,53,57.0,47.0,66.0,18.0,20.0,60.0,321.0
2020-11-01,34,63.0,59.0,72.0,0.0,39.0,48.0,315.0
2020-11-08,57,53.0,43.0,71.0,0.0,53.0,57.0,334.0
2020-11-15,37,61.0,43.0,67.0,0.0,60.0,62.0,330.0
