,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-07-31,1818.7822,-4522.3623,-840.06866,101.73979,1075.257,2562.3076,3535.8245,4477.6333,8159.9272
2022-08-07,1809.7019,-4926.739,-1014.95593,-14.4296255,1019.7983,2599.6055,3633.833,4634.36,8546.143
2022-08-14,1750.4708,-4804.855,-998.2318,-24.606909,981.8102,2519.1313,3525.548,4499.1733,8305.797
2022-08-21,1776.1742,-5083.269,-1100.0875,-81.28905,971.8342,2580.5142,3633.6372,4652.436,8635.618
2022-08-28,1626.844,-4467.3594,-928.51733,-23.379238,912.2479,2341.4402,3277.067,4182.205,7721.047
2022-09-04,2257.9846,-5433.04,-966.83093,175.46085,1356.2003,3159.7688,4340.508,5482.8003,9949.009
2022-09-11,1844.2715,-5395.8667,-1191.5782,-116.24217,995.3117,2693.2314,3804.785,4880.1216,9084.409
2022-09-18,1800.2754,-5426.639,-1230.0502,-156.67586,952.8562,2647.6946,3757.226,4830.6006,9027.189
2022-09-25,1386.0148,-4807.8394,-1211.1897,-291.24377,659.70575,2112.3237,3063.2727,3983.2192,7579.869
2022-10-02,1793.7499,-4830.481,-983.8236,0.032493286,1017.0199,2570.48,3587.467,4571.3237,8417.98
2022-10-09,1276.841,-4455.813,-1126.967,-275.52164,604.61664,1949.0653,2829.2034,3680.6487,7009.495
2022-10-16,1845.4805,-4937.658,-998.69904,8.755637,1050.1295,2640.8313,3682.205,4689.66,8628.619
2022-10-23,1143.1134,-4342.165,-1156.9534,-342.25107,499.9027,1786.3241,2628.4778,3443.1804,6628.3916
2022-10-30,1393.0842,-4055.3145,-891.47345,-82.25435,754.2196,2031.9489,2868.4224,3677.642,6841.483
2022-11-06,1626.8395,-4736.802,-1041.5237,-96.364395,880.6382,2373.0408,3350.043,4295.202,7990.481
2022-11-13,1506.5032,-3977.44,-792.92664,21.567682,863.4859,2149.5203,2991.4382,3805.933,6990.446
2022-11-20,1148.3845,-3708.9448,-888.34515,-166.91257,578.8212,1717.9478,2463.6814,3185.1143,6005.7134
2022-11-27,1430.6224,-3760.7183,-746.14026,24.898325,821.9036,2039.3411,2836.3462,3607.385,6621.9634
2022-12-04,2243.9197,-5340.8857,-936.3778,190.14023,1354.5804,3133.259,4297.6987,5424.2173,9828.725
2022-12-11,1313.3025,-4091.7163,-953.0995,-150.3192,679.5082,1947.0967,2776.9236,3579.704,6718.3213
2022-12-18,1477.3928,-4159.976,-886.42883,-49.139877,816.3568,2138.4287,3003.925,3841.2146,7114.761
2022-12-25,1418.3767,-4159.169,-920.3542,-91.95105,764.3586,2072.3948,2928.704,3757.1074,6995.923
2023-01-01,1709.8473,-4121.8013,-735.3899,130.74846,1026.0535,2393.641,3288.9456,4155.0845,7541.496
2023-01-08,1503.0312,-4271.4497,-918.26965,-60.617588,825.9242,2180.1382,3066.6797,3924.3323,7277.512
2023-01-15,1445.359,-3979.7285,-829.44617,-23.686565,809.21716,2081.501,2914.4043,3720.1643,6870.4463
2023-01-22,1962.5305,-4587.89,-784.0675,188.82272,1194.4679,2730.593,3736.2375,4709.1284,8512.951
