,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-03-01,1641.9586,1291.4207,1354.3713,1448.3406,1540.8203,1743.0969,1839.7207,1933.7467,2158.5833
2020-03-08,1607.2043,1247.6344,1329.2615,1411.6853,1507.7802,1706.6284,1788.4973,1873.0543,2094.133
2020-03-15,1481.622,1076.3425,1206.1033,1269.8224,1374.8651,1588.3788,1669.903,1750.7238,1953.9379
2020-03-22,1437.8926,1019.12274,1159.8491,1218.9377,1325.6064,1550.1788,1638.5437,1716.4398,1902.9893
2020-03-29,1312.2432,840.6774,994.694,1065.2705,1188.0931,1436.3933,1549.1505,1638.2179,1781.8232
2020-04-05,1383.9541,1009.9784,1119.9445,1186.3984,1277.5397,1490.3684,1552.0409,1631.4852,1809.6599
2020-04-12,1559.0542,1182.1793,1267.9318,1354.6648,1437.8153,1680.2931,1798.2339,1910.7207,2151.9287
2020-04-19,1703.9602,1248.7202,1342.894,1448.2925,1552.6447,1855.2756,2047.8508,2183.6409,2462.564
2020-04-26,1812.6167,1293.3578,1396.4143,1505.1564,1652.1752,1973.0583,2202.036,2344.391,2595.6511
2020-05-03,1863.3094,1368.0682,1441.5205,1565.3428,1706.4396,2020.1793,2241.2607,2394.3044,2633.2515
2020-05-10,1928.6118,1372.5427,1459.7968,1589.6116,1760.0756,2097.1482,2336.3584,2500.3325,2750.1284
2020-05-17,2170.3425,1441.1749,1544.5872,1693.7006,1938.8892,2401.796,2724.0083,2982.1206,3459.5051
2020-05-24,2293.7876,1458.9657,1581.4948,1731.0107,2020.6991,2566.876,2941.3857,3270.683,3858.031
2020-05-31,2339.7793,1471.4949,1603.5128,1738.7487,2046.0879,2633.4705,3038.3574,3410.2397,4066.7422
2020-06-07,2411.9956,1532.5476,1631.4111,1807.9579,2125.3577,2698.6333,3130.347,3511.0205,4190.1353
2020-06-14,2472.3384,1531.1328,1651.8821,1826.5427,2162.8,2781.877,3228.189,3628.6243,4361.8174
2020-06-21,2529.5166,1520.1705,1665.9164,1831.7174,2192.4006,2866.6323,3343.5837,3785.6333,4589.67
2020-06-28,2563.0007,1550.664,1703.7029,1854.0258,2214.3704,2911.631,3396.0327,3852.7454,4718.3896
2020-07-05,2647.352,1647.1237,1759.8344,1944.1046,2317.436,2977.2683,3493.0369,3965.369,4867.8877
2020-07-12,2738.8103,1640.5474,1784.1088,1974.1376,2377.4326,3100.188,3634.8972,4134.6074,5068.663
2020-07-19,2648.308,1663.9791,1785.1067,1973.2588,2299.1992,2997.4172,3444.448,3855.819,4895.9224
2020-07-26,2467.1711,1522.7386,1667.1752,1838.9913,2139.2236,2795.1187,3154.7764,3511.9502,4533.6685
2020-08-02,2437.2146,1499.1554,1629.521,1830.7367,2142.6528,2731.7764,3035.7715,3410.2039,4407.25
2020-08-09,2275.6262,1349.0001,1528.3252,1705.1482,1989.771,2561.4814,2795.9226,3119.5308,4081.7588
2020-08-16,2343.6318,1350.9995,1556.9915,1740.0402,2042.8274,2644.436,2883.3667,3204.3906,4123.741
2020-08-23,2390.4097,1390.9397,1613.8287,1786.8391,2096.4014,2684.4182,2917.5947,3207.374,4075.3848
