"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-12-04","CENTRAL",81,50,296,82,51,1,1
"2020-12-05","CENTRAL",81,51,316,82,51,1,0
"2020-12-06","CENTRAL",83,52,315,84,52,1,0
"2020-12-07","CENTRAL",79,53,323,81,54,2,1
"2020-12-08","CENTRAL",80,48,324,82,49,2,1
"2020-12-09","CENTRAL",86,55,322,90,58,4,3
"2020-12-10","CENTRAL",87,57,336,92,60,5,3
"2020-12-11","CENTRAL",91,61,331,96,64,5,3
"2020-12-12","CENTRAL",99,61,358,106,64,7,3
"2020-12-13","CENTRAL",94,60,383,101,64,7,4
"2020-12-14","CENTRAL",99,63,386,105,68,6,5
"2020-12-15","CENTRAL",97,67,376,103,70,6,3
"2020-12-16","CENTRAL",101,66,350,106,69,5,3
"2020-12-17","CENTRAL",99,63,361,104,66,5,3
"2020-12-18","CENTRAL",100,61,364,104,63,4,2
"2020-12-19","CENTRAL",106,63,381,111,66,5,3
"2020-12-20","CENTRAL",105,62,424,111,66,6,4
"2020-12-21","CENTRAL",106,63,423,110,65,4,2
"2020-12-22","CENTRAL",106,71,416,111,75,5,4
"2020-12-23","CENTRAL",105,68,424,111,72,6,4
"2020-12-24","CENTRAL",108,50,398,113,52,5,2
"2020-12-25","CENTRAL",115,74,444,120,77,5,3
"2020-12-26","CENTRAL",118,89,485,122,92,4,3
"2020-12-27","CENTRAL",122,97,490,128,102,6,5
"2020-12-28","CENTRAL",122,94,505,129,98,7,4
"2020-12-29","CENTRAL",125,82,502,132,85,7,3
"2020-12-30","CENTRAL",128,89,517,134,93,6,4
"2020-12-31","CENTRAL",127,94,503,134,98,7,4
"2021-01-01","CENTRAL",117,88,534,124,92,7,4
"2021-01-02","CENTRAL",120,93,542,127,98,7,5
"2021-01-03","CENTRAL",122,77,562,129,82,7,5
"2021-01-04","CENTRAL",125,91,598,133,97,8,6
"2021-01-05","CENTRAL",133,98,595,139,102,6,4
"2021-01-06","CENTRAL",134,101,592,139,104,5,3
"2021-01-07","CENTRAL",140,104,603,146,107,6,3
"2021-01-08","CENTRAL",141,98,618,146,101,5,3
"2021-01-09","CENTRAL",133,99,636,138,101,5,2
"2021-01-10","CENTRAL",134,97,700,140,99,6,2
"2021-01-11","CENTRAL",134,97,671,140,99,6,2
"2021-01-12","CENTRAL",128,97,664,134,99,6,2
"2021-01-13","CENTRAL",129,95,665,134,98,5,3
"2021-01-14","CENTRAL",124,94,647,130,97,6,3
"2021-01-15","CENTRAL",125,89,624,131,93,6,4
"2021-01-16","CENTRAL",123,101,633,127,104,4,3
"2021-01-17","CENTRAL",128,101,641,132,104,4,3
"2021-01-18","CENTRAL",133,99,639,138,102,5,3
"2021-01-19","CENTRAL",129,99,573,132,102,3,3
"2021-01-20","CENTRAL",129,96,564,133,99,4,3
"2021-01-21","CENTRAL",130,94,566,134,98,4,4
"2021-01-22","CENTRAL",134,96,548,138,100,4,4
"2021-01-23","CENTRAL",130,100,537,134,103,4,3
"2021-01-24","CENTRAL",135,99,550,141,103,6,4
"2021-01-25","CENTRAL",131,98,512,136,101,5,3
"2021-01-26","CENTRAL",124,96,493,130,100,6,4
"2021-01-27","CENTRAL",117,95,469,122,98,5,3
"2021-01-28","CENTRAL",120,89,466,125,93,5,4
"2021-01-29","CENTRAL",121,76,453,127,78,6,2
"2021-01-30","CENTRAL",116,90,449,123,95,7,5
"2021-01-31","CENTRAL",117,87,462,124,91,7,4
"2021-02-01","CENTRAL",114,79,366,122,83,8,4
"2021-02-02","CENTRAL",109,79,424,120,84,11,5
"2021-02-03","CENTRAL",103,79,399,113,85,10,6
"2021-02-04","CENTRAL",103,67,399,113,74,10,7
"2021-02-05","CENTRAL",102,65,370,113,73,11,8
"2021-02-06","CENTRAL",105,70,374,117,78,12,8
"2021-02-07","CENTRAL",103,70,385,114,79,11,9
"2021-02-08","CENTRAL",100,68,367,111,76,11,8
"2021-02-09","CENTRAL",99,71,370,109,78,10,7
"2021-02-10","CENTRAL",91,68,343,102,76,11,8
"2021-02-11","CENTRAL",93,66,325,105,73,12,7
"2021-02-12","CENTRAL",95,67,296,107,76,12,9
"2021-02-13","CENTRAL",102,71,329,114,80,12,9
"2021-02-14","CENTRAL",101,71,323,113,79,12,8
"2021-02-15","CENTRAL",112,83,266,125,90,13,7
"2021-02-16","CENTRAL",114,87,324,126,93,12,6
"2021-02-17","CENTRAL",114,79,289,127,86,13,7
"2021-02-18","CENTRAL",111,81,313,123,87,12,6
"2021-02-19","CENTRAL",112,80,317,121,83,9,3
"2021-02-20","CENTRAL",118,80,296,127,83,9,3
"2021-02-21","CENTRAL",116,81,298,126,84,10,3
"2021-02-22","CENTRAL",122,81,280,130,85,8,4
"2021-02-23","CENTRAL",116,77,280,126,81,10,4
"2021-02-24","CENTRAL",115,77,273,125,80,10,3
"2021-02-25","CENTRAL",114,79,285,124,84,10,5
"2021-02-26","CENTRAL",109,78,257,118,84,9,6
"2021-02-27","CENTRAL",112,75,259,122,81,10,6
"2021-02-28","CENTRAL",106,67,261,116,74,10,7
"2021-03-01","CENTRAL",111,72,250,119,76,8,4
"2021-03-02","CENTRAL",103,74,250,113,79,10,5
"2021-03-03","CENTRAL",107,70,249,116,75,9,5
"2021-03-04","CENTRAL",110,73,233,120,79,10,6
"2021-03-05","CENTRAL",111,65,237,121,69,10,4
"2021-03-06","CENTRAL",105,67,245,115,71,10,4
"2021-03-07","CENTRAL",103,64,257,113,69,10,5
"2021-03-08","CENTRAL",104,64,256,114,69,10,5
"2021-03-09","CENTRAL",104,57,255,112,61,8,4
"2021-03-10","CENTRAL",104,65,255,112,69,8,4
"2021-03-11","CENTRAL",102,69,264,111,73,9,4
"2021-03-12","CENTRAL",98,67,261,106,70,8,3
"2021-03-13","CENTRAL",104,69,273,111,72,7,3
"2021-03-14","CENTRAL",108,70,271,115,74,7,4
"2021-03-15","CENTRAL",111,75,272,118,77,7,2
"2021-03-16","CENTRAL",111,74,270,118,77,7,3
"2021-03-17","CENTRAL",109,72,278,118,78,9,6
"2021-03-18","CENTRAL",115,69,285,125,73,10,4
"2021-03-19","CENTRAL",112,71,294,123,78,11,7
"2021-03-20","CENTRAL",114,73,317,126,80,12,7
"2021-03-21","CENTRAL",110,75,334,122,84,12,9
"2021-03-22","CENTRAL",111,74,343,123,80,12,6
"2021-03-23","CENTRAL",119,83,334,128,90,9,7
"2021-03-24","CENTRAL",116,80,345,125,87,9,7
"2021-03-25","CENTRAL",128,82,374,136,87,8,5
"2021-03-26","CENTRAL",126,72,375,135,77,9,5
"2021-03-27","CENTRAL",129,76,392,139,81,10,5
"2021-03-28","CENTRAL",128,91,431,136,96,8,5
"2021-03-29","CENTRAL",141,95,467,148,100,7,5
"2021-03-30","CENTRAL",148,102,469,155,107,7,5
"2021-03-31","CENTRAL",150,100,467,156,105,6,5
"2021-04-01","CENTRAL",155,103,483,162,108,7,5
"2021-04-02","CENTRAL",162,98,522,169,102,7,4
"2021-04-03","CENTRAL",171,91,555,177,95,6,4
"2021-04-04","CENTRAL",172,101,580,177,105,5,4
"2021-04-05","CENTRAL",175,104,581,180,108,5,4
"2021-04-06","CENTRAL",170,107,587,178,111,8,4
"2021-04-07","CENTRAL",181,114,607,189,119,8,5
"2021-04-08","CENTRAL",187,122,630,198,129,11,7
"2021-04-09","CENTRAL",195,129,649,205,136,10,7
"2021-04-10","CENTRAL",197,121,688,207,129,10,8
"2021-04-11","CENTRAL",203,127,734,213,132,10,5
"2021-04-12","CENTRAL",195,129,745,206,139,11,10
"2021-04-13","CENTRAL",191,127,787,202,136,11,9
"2021-04-14","CENTRAL",192,131,809,203,141,11,10
"2021-04-15","CENTRAL",204,134,834,214,142,10,8
"2021-04-16","CENTRAL",213,132,874,224,141,11,9
"2021-04-17","CENTRAL",210,127,939,221,135,11,8
"2021-04-18","CENTRAL",215,128,974,225,136,10,8
"2021-04-19","CENTRAL",212,134,952,222,141,10,7
"2021-04-20","CENTRAL",206,137,961,216,145,10,8
"2021-04-21","CENTRAL",214,140,917,225,148,11,8
"2021-04-22","CENTRAL",208,130,884,220,139,12,9
"2021-04-23","CENTRAL",204,138,846,216,146,12,8
"2021-04-24","CENTRAL",208,136,877,219,144,11,8
"2021-04-25","CENTRAL",210,134,869,223,144,13,10
"2021-04-26","CENTRAL",203,121,835,216,131,13,10
"2021-04-27","CENTRAL",199,131,778,211,140,12,9
"2021-04-28","CENTRAL",199,129,735,211,140,12,11
"2021-04-29","CENTRAL",195,135,719,207,143,12,8
"2021-04-30","CENTRAL",195,129,715,207,139,12,10
"2021-05-01","CENTRAL",188,123,752,201,132,13,9
"2021-05-02","CENTRAL",189,123,736,199,128,10,5
"2021-05-03","CENTRAL",186,122,705,196,126,10,4
"2021-05-04","CENTRAL",183,123,661,194,130,11,7
"2021-05-05","CENTRAL",192,120,632,202,124,10,4
"2021-05-06","CENTRAL",178,120,592,188,124,10,4
"2021-05-07","CENTRAL",176,116,566,187,124,11,8
"2021-05-08","CENTRAL",175,119,552,184,126,9,7
"2021-05-09","CENTRAL",176,122,586,183,127,7,5
"2021-05-10","CENTRAL",174,127,524,183,133,9,6
"2021-05-11","CENTRAL",174,128,530,182,134,8,6
"2021-05-12","CENTRAL",182,131,528,190,137,8,6
"2021-05-13","CENTRAL",182,134,512,189,139,7,5
"2021-05-14","CENTRAL",195,141,518,202,145,7,4
"2021-05-15","CENTRAL",189,141,530,196,145,7,4
"2021-05-16","CENTRAL",186,139,524,194,144,8,5
"2021-05-17","CENTRAL",190,138,506,196,142,6,4
"2021-05-18","CENTRAL",178,129,477,185,133,7,4
"2021-05-19","CENTRAL",170,126,469,178,130,8,4
"2021-05-20","CENTRAL",174,132,442,181,136,7,4
"2021-05-21","CENTRAL",174,127,411,181,133,7,6
"2021-05-22","CENTRAL",167,121,410,176,126,9,5
"2021-05-23","CENTRAL",173,124,423,181,129,8,5
"2021-05-24","CENTRAL",171,125,406,177,130,6,5
"2021-05-25","CENTRAL",162,116,397,167,121,5,5
"2021-05-26","CENTRAL",159,115,379,165,121,6,6
"2021-05-27","CENTRAL",156,113,327,161,118,5,5
"2021-05-28","CENTRAL",154,113,315,160,117,6,4
"2021-05-29","CENTRAL",147,108,304,155,113,8,5
"2021-05-30","CENTRAL",149,105,292,158,110,9,5
"2021-05-31","CENTRAL",142,103,278,151,107,9,4
"2021-06-01","CENTRAL",142,101,270,152,106,10,5
"2021-06-02","CENTRAL",136,99,245,148,104,12,5
"2021-06-03","CENTRAL",124,96,225,135,100,11,4
"2021-06-04","CENTRAL",122,90,213,133,97,11,7
"2021-06-05","CENTRAL",119,88,211,133,93,14,5
"2021-06-06","CENTRAL",120,83,220,131,88,11,5
"2021-06-07","CENTRAL",112,71,199,122,76,10,5
"2021-06-08","CENTRAL",117,83,188,128,90,11,7
"2021-06-09","CENTRAL",114,83,177,124,89,10,6
"2021-06-10","CENTRAL",112,89,164,120,94,8,5
"2021-06-11","CENTRAL",108,80,147,117,85,9,5
"2021-06-12","CENTRAL",106,79,152,115,84,9,5
"2021-06-13","CENTRAL",102,76,111,111,81,9,5
"2021-06-14","CENTRAL",98,60,104,107,63,9,3
"2021-06-15","CENTRAL",93,58,100,104,62,11,4
"2021-06-16","CENTRAL",90,59,85,101,66,11,7
"2021-06-17","CENTRAL",86,56,68,96,60,10,4
"2021-06-18","CENTRAL",77,52,63,88,56,11,4
"2021-06-19","CENTRAL",75,46,63,86,51,11,5
"2021-06-20","CENTRAL",75,42,71,85,47,10,5
"2021-06-21","CENTRAL",71,44,59,81,50,10,6
"2021-06-22","CENTRAL",70,40,57,81,45,11,5
"2021-06-23","CENTRAL",68,46,51,78,50,10,4
"2021-06-24","CENTRAL",63,47,46,72,53,9,6
"2021-06-25","CENTRAL",59,46,44,71,53,12,7
"2021-06-26","CENTRAL",60,50,49,72,57,12,7
"2021-06-27","CENTRAL",57,44,43,70,53,13,9
"2021-06-28","CENTRAL",55,42,42,65,50,10,8
"2021-06-29","CENTRAL",55,43,35,66,51,11,8
"2021-06-30","CENTRAL",52,38,36,64,46,12,8
"2021-07-01","CENTRAL",50,33,32,64,43,14,10
"2021-07-02","CENTRAL",46,32,28,60,40,14,8
"2021-07-03","CENTRAL",44,32,28,59,41,15,9
"2021-07-04","CENTRAL",41,32,30,56,40,15,8
"2021-07-05","CENTRAL",36,29,30,52,40,16,11
"2021-07-06","CENTRAL",35,25,32,52,37,17,12
"2021-07-07","CENTRAL",34,23,36,50,33,16,10
"2021-07-08","CENTRAL",36,25,33,51,35,15,10
"2021-07-09","CENTRAL",36,23,31,50,32,14,9
"2021-07-10","CENTRAL",38,23,34,52,31,14,8
"2021-07-11","CENTRAL",38,22,37,53,30,15,8
"2021-07-12","CENTRAL",38,23,33,53,32,15,9
"2021-07-13","CENTRAL",35,22,33,51,30,16,8
"2021-07-14","CENTRAL",35,19,33,47,28,12,9
"2021-07-15","CENTRAL",31,18,26,42,27,11,9
"2021-07-16","CENTRAL",27,18,22,38,26,11,8
"2021-07-17","CENTRAL",27,15,27,38,22,11,7
"2021-07-18","CENTRAL",27,15,29,39,24,12,9
"2021-07-19","CENTRAL",27,14,30,40,21,13,7
"2021-07-20","CENTRAL",28,14,25,39,19,11,5
"2021-07-21","CENTRAL",26,14,37,36,20,10,6
"2021-07-22","CENTRAL",27,13,35,38,20,11,7
