"date","oh_region","icu_current_covid","icu_current_covid_vented","hospitalizations","icu_crci_total","icu_crci_total_vented","icu_former_covid","icu_former_covid_vented"
"2020-04-01","CENTRAL",51,39,141,0,0,0,0
"2020-04-02","CENTRAL",57,52,143,0,0,0,0
"2020-04-03","CENTRAL",65,57,174,0,0,0,0
"2020-04-04","CENTRAL",65,55,187,0,0,0,0
"2020-04-05","CENTRAL",73,58,183,0,0,0,0
"2020-04-06","CENTRAL",83,68,203,0,0,0,0
"2020-04-07","CENTRAL",85,68,205,0,0,0,0
"2020-04-08","CENTRAL",92,73,218,0,0,0,0
"2020-04-09","CENTRAL",88,73,230,0,0,0,0
"2020-04-10","CENTRAL",90,77,237,0,0,0,0
"2020-04-11","CENTRAL",93,70,248,0,0,0,0
"2020-04-12","CENTRAL",92,78,265,0,0,0,0
"2020-04-13","CENTRAL",89,73,284,0,0,0,0
"2020-04-14","CENTRAL",89,74,287,0,0,0,0
"2020-04-15","CENTRAL",86,67,293,0,0,0,0
"2020-04-16","CENTRAL",86,72,298,0,0,0,0
"2020-04-17","CENTRAL",90,74,299,0,0,0,0
"2020-04-18","CENTRAL",88,73,309,0,0,0,0
"2020-04-19","CENTRAL",87,74,317,0,0,0,0
"2020-04-20","CENTRAL",88,72,316,0,0,0,0
"2020-04-21","CENTRAL",85,68,320,0,0,0,0
"2020-04-22","CENTRAL",85,67,351,0,0,0,0
"2020-04-23","CENTRAL",88,67,367,0,0,0,0
"2020-04-24","CENTRAL",91,73,383,0,0,0,0
"2020-04-25","CENTRAL",92,70,382,0,0,0,0
"2020-04-26","CENTRAL",91,70,370,0,0,0,0
"2020-04-27","CENTRAL",89,65,381,0,0,0,0
"2020-04-28","CENTRAL",86,64,402,0,0,0,0
"2020-04-29","CENTRAL",86,61,411,0,0,0,0
"2020-04-30","CENTRAL",79,59,415,0,0,0,0
"2020-05-01","CENTRAL",79,55,396,83,64,4,9
"2020-05-02","CENTRAL",87,65,396,91,67,4,2
"2020-05-03","CENTRAL",85,66,433,89,69,4,3
"2020-05-04","CENTRAL",86,67,435,90,72,4,5
"2020-05-05","CENTRAL",84,67,433,90,74,6,7
"2020-05-06","CENTRAL",83,60,437,86,70,3,10
"2020-05-07","CENTRAL",81,64,445,85,69,4,5
"2020-05-08","CENTRAL",78,63,391,82,68,4,5
"2020-05-09","CENTRAL",76,53,433,80,63,4,10
"2020-05-10","CENTRAL",75,58,445,81,64,6,6
"2020-05-11","CENTRAL",78,60,452,83,63,5,3
"2020-05-12","CENTRAL",76,56,458,80,59,4,3
"2020-05-13","CENTRAL",74,55,451,77,59,3,4
"2020-05-14","CENTRAL",73,56,458,77,60,4,4
"2020-05-15","CENTRAL",74,59,439,78,63,4,4
"2020-05-16","CENTRAL",65,57,439,70,60,5,3
"2020-05-17","CENTRAL",68,56,444,73,59,5,3
"2020-05-18","CENTRAL",66,53,453,76,60,10,7
"2020-05-19","CENTRAL",67,51,449,78,59,11,8
"2020-05-20","CENTRAL",66,52,429,77,60,11,8
"2020-05-21","CENTRAL",64,52,409,76,61,12,9
"2020-05-22","CENTRAL",63,52,395,78,62,15,10
"2020-05-23","CENTRAL",64,49,402,80,64,16,15
"2020-05-24","CENTRAL",61,50,386,76,64,15,14
"2020-05-25","CENTRAL",62,50,388,77,64,15,14
"2020-05-26","CENTRAL",65,54,389,78,64,13,10
"2020-05-27","CENTRAL",66,42,383,79,63,13,21
"2020-05-28","CENTRAL",61,52,387,76,62,15,10
"2020-05-29","CENTRAL",60,39,368,75,60,15,21
"2020-05-30","CENTRAL",60,47,359,76,56,16,9
"2020-05-31","CENTRAL",62,48,378,76,57,14,9
"2020-06-01","CENTRAL",61,47,384,75,56,14,9
"2020-06-02","CENTRAL",62,49,380,75,60,13,11
"2020-06-03","CENTRAL",58,45,364,72,54,14,9
"2020-06-04","CENTRAL",57,45,326,71,55,14,10
"2020-06-05","CENTRAL",58,48,320,71,56,13,8
"2020-06-06","CENTRAL",55,45,304,66,55,11,10
"2020-06-07","CENTRAL",53,41,285,64,51,11,10
"2020-06-08","CENTRAL",51,41,282,62,48,11,7
"2020-06-09","CENTRAL",52,39,252,62,47,10,8
"2020-06-10","CENTRAL",53,40,231,64,48,11,8
"2020-06-11","CENTRAL",48,34,222,60,46,12,12
"2020-06-12","CENTRAL",46,21,206,58,39,12,18
"2020-06-13","CENTRAL",45,30,193,57,41,12,11
"2020-06-14","CENTRAL",44,23,191,57,35,13,12
"2020-06-15","CENTRAL",42,27,175,56,38,14,11
"2020-06-16","CENTRAL",37,24,167,50,34,13,10
"2020-06-17","CENTRAL",33,19,149,48,30,15,11
"2020-06-18","CENTRAL",31,23,157,46,30,15,7
"2020-06-19","CENTRAL",29,22,146,46,35,17,13
"2020-06-20","CENTRAL",31,22,143,48,34,17,12
"2020-06-21","CENTRAL",24,17,148,44,30,20,13
"2020-06-22","CENTRAL",25,18,139,45,30,20,12
"2020-06-23","CENTRAL",24,18,132,42,32,18,14
"2020-06-24","CENTRAL",22,19,126,40,32,18,13
"2020-06-25","CENTRAL",21,17,122,40,29,19,12
"2020-06-26","CENTRAL",19,15,108,39,29,20,14
"2020-06-27","CENTRAL",19,14,111,39,27,20,13
"2020-06-28","CENTRAL",19,14,99,40,25,21,11
"2020-06-29","CENTRAL",16,14,104,34,24,18,10
"2020-06-30","CENTRAL",18,13,62,32,22,14,9
"2020-07-01","CENTRAL",19,12,62,35,23,16,11
"2020-07-02","CENTRAL",19,12,59,34,23,15,11
"2020-07-04","CENTRAL",18,9,49,31,15,13,6
"2020-07-05","CENTRAL",18,9,50,30,17,12,8
"2020-07-06","CENTRAL",17,11,48,28,18,11,7
"2020-07-07","CENTRAL",17,13,47,27,19,10,6
"2020-07-08","CENTRAL",15,11,44,25,17,10,6
"2020-07-09","CENTRAL",17,11,52,26,17,9,6
"2020-07-10","CENTRAL",14,9,45,23,15,9,6
"2020-07-11","CENTRAL",14,10,47,23,15,9,5
"2020-07-12","CENTRAL",12,10,46,20,15,8,5
"2020-07-13","CENTRAL",13,11,45,21,16,8,5
"2020-07-14","CENTRAL",14,12,45,21,18,7,6
"2020-07-15","CENTRAL",15,11,36,22,16,7,5
"2020-07-16","CENTRAL",15,11,33,23,16,8,5
"2020-07-17","CENTRAL",16,12,33,23,15,7,3
"2020-07-18","CENTRAL",15,11,34,21,14,6,3
"2020-07-19","CENTRAL",15,12,37,21,16,6,4
"2020-07-20","CENTRAL",15,11,43,21,14,6,3
"2020-07-21","CENTRAL",17,10,40,22,12,5,2
"2020-07-22","CENTRAL",17,9,34,22,10,5,1
"2020-07-23","CENTRAL",15,9,34,20,11,5,2
"2020-07-24","CENTRAL",15,9,30,19,11,4,2
"2020-07-25","CENTRAL",14,9,29,18,11,4,2
"2020-07-26","CENTRAL",16,8,32,20,10,4,2
"2020-07-27","CENTRAL",16,9,31,19,11,3,2
"2020-07-28","CENTRAL",13,8,29,16,10,3,2
"2020-07-29","CENTRAL",13,7,27,16,10,3,3
"2020-07-30","CENTRAL",12,7,27,16,11,4,4
"2020-07-31","CENTRAL",12,7,26,16,10,4,3
"2020-08-01","CENTRAL",11,8,31,17,13,6,5
"2020-08-02","CENTRAL",10,8,29,16,13,6,5
"2020-08-03","CENTRAL",10,8,24,15,13,5,5
"2020-08-04","CENTRAL",11,8,29,15,12,4,4
"2020-08-05","CENTRAL",11,7,23,16,11,5,4
"2020-08-06","CENTRAL",8,6,16,13,11,5,5
"2020-08-07","CENTRAL",7,7,24,12,12,5,5
"2020-08-08","CENTRAL",7,6,19,12,11,5,5
"2020-08-09","CENTRAL",8,7,21,13,12,5,5
"2020-08-10","CENTRAL",7,6,19,13,12,6,6
"2020-08-11","CENTRAL",7,6,16,13,12,6,6
"2020-08-12","CENTRAL",7,6,16,13,12,6,6
"2020-08-13","CENTRAL",6,5,13,12,11,6,6
"2020-08-14","CENTRAL",6,5,11,12,10,6,5
"2020-08-15","CENTRAL",6,5,7,11,10,5,5
"2020-08-16","CENTRAL",5,5,12,10,10,5,5
"2020-08-17","CENTRAL",5,5,12,10,10,5,5
"2020-08-18","CENTRAL",4,4,10,9,9,5,5
"2020-08-19","CENTRAL",4,3,13,9,6,5,3
"2020-08-20","CENTRAL",4,3,13,9,4,5,1
"2020-08-21","CENTRAL",4,3,14,9,4,5,1
"2020-08-22","CENTRAL",4,4,13,9,5,5,1
"2020-08-23","CENTRAL",4,4,15,9,5,5,1
"2020-08-24","CENTRAL",6,6,19,8,7,2,1
"2020-08-25","CENTRAL",8,6,22,10,7,2,1
"2020-08-26","CENTRAL",10,7,31,11,8,1,1
"2020-08-27","CENTRAL",10,8,23,12,10,2,2
"2020-08-28","CENTRAL",10,4,21,13,6,3,2
"2020-08-29","CENTRAL",11,7,19,14,10,3,3
"2020-08-30","CENTRAL",10,5,24,13,7,3,2
"2020-08-31","CENTRAL",11,6,20,13,7,2,1
"2020-09-01","CENTRAL",8,6,22,10,6,2,0
"2020-09-02","CENTRAL",7,6,29,9,7,2,1
"2020-09-03","CENTRAL",9,6,26,12,6,3,0
"2020-09-04","CENTRAL",10,6,27,12,7,2,1
"2020-09-05","CENTRAL",11,6,28,13,7,2,1
"2020-09-06","CENTRAL",13,6,28,15,6,2,0
"2020-09-07","CENTRAL",11,5,30,14,6,3,1
"2020-09-08","CENTRAL",8,5,28,12,6,4,1
"2020-09-09","CENTRAL",8,6,23,12,6,4,0
"2020-09-10","CENTRAL",8,6,22,11,7,3,1
"2020-09-11","CENTRAL",8,5,19,11,6,3,1
"2020-09-12","CENTRAL",8,6,22,11,7,3,1
"2020-09-13","CENTRAL",9,6,25,12,7,3,1
"2020-09-14","CENTRAL",10,5,23,13,6,3,1
"2020-09-15","CENTRAL",11,7,22,14,8,3,1
"2020-09-16","CENTRAL",12,7,25,15,7,3,0
"2020-09-17","CENTRAL",10,6,28,14,6,4,0
"2020-09-18","CENTRAL",10,6,32,13,6,3,0
"2020-09-19","CENTRAL",12,6,37,15,6,3,0
"2020-09-20","CENTRAL",12,7,44,15,7,3,0
"2020-09-21","CENTRAL",14,8,46,16,8,2,0
"2020-09-22","CENTRAL",14,6,45,16,6,2,0
"2020-09-23","CENTRAL",15,6,45,17,6,2,0
"2020-09-24","CENTRAL",14,6,44,16,6,2,0
"2020-09-25","CENTRAL",16,8,47,18,8,2,0
"2020-09-26","CENTRAL",16,9,50,18,9,2,0
"2020-09-27","CENTRAL",16,10,53,18,10,2,0
"2020-09-28","CENTRAL",15,10,49,15,10,0,0
"2020-09-29","CENTRAL",18,10,52,18,10,0,0
"2020-09-30","CENTRAL",18,10,55,18,10,0,0
"2020-10-01","CENTRAL",17,10,52,17,10,0,0
"2020-10-02","CENTRAL",18,11,49,18,11,0,0
"2020-10-03","CENTRAL",18,12,52,18,12,0,0
"2020-10-04","CENTRAL",19,12,61,19,12,0,0
"2020-10-05","CENTRAL",18,12,61,18,12,0,0
"2020-10-06","CENTRAL",16,12,68,16,12,0,0
"2020-10-07","CENTRAL",18,13,82,19,14,1,1
"2020-10-08","CENTRAL",19,13,85,20,14,1,1
"2020-10-09","CENTRAL",22,12,88,23,13,1,1
"2020-10-10","CENTRAL",23,13,81,25,14,2,1
"2020-10-11","CENTRAL",23,12,89,25,13,2,1
"2020-10-12","CENTRAL",27,14,84,29,15,2,1
"2020-10-13","CENTRAL",30,15,105,31,16,1,1
"2020-10-14","CENTRAL",30,13,107,31,14,1,1
"2020-10-15","CENTRAL",34,17,119,35,17,1,0
"2020-10-16","CENTRAL",32,17,110,33,17,1,0
"2020-10-17","CENTRAL",29,15,117,30,15,1,0
"2020-10-18","CENTRAL",28,14,125,29,14,1,0
"2020-10-19","CENTRAL",28,18,118,29,19,1,1
"2020-10-20","CENTRAL",27,20,116,28,21,1,1
"2020-10-21","CENTRAL",27,23,115,29,24,2,1
"2020-10-22","CENTRAL",28,18,127,30,20,2,2
"2020-10-23","CENTRAL",31,24,127,32,25,1,1
"2020-10-24","CENTRAL",31,24,141,32,25,1,1
"2020-10-25","CENTRAL",31,23,139,32,24,1,1
"2020-10-26","CENTRAL",30,23,129,31,24,1,1
"2020-10-27","CENTRAL",29,24,127,30,25,1,1
"2020-10-28","CENTRAL",31,23,127,32,24,1,1
"2020-10-29","CENTRAL",34,26,133,34,26,0,0
"2020-10-30","CENTRAL",35,30,135,35,30,0,0
"2020-10-31","CENTRAL",35,23,140,35,23,0,0
"2020-11-01","CENTRAL",34,21,137,34,21,0,0
"2020-11-02","CENTRAL",30,21,148,30,21,0,0
"2020-11-03","CENTRAL",30,20,155,30,20,0,0
"2020-11-04","CENTRAL",40,22,151,40,22,0,0
"2020-11-05","CENTRAL",39,24,171,39,24,0,0
"2020-11-06","CENTRAL",42,25,160,43,25,1,0
"2020-11-07","CENTRAL",38,25,158,39,25,1,0
"2020-11-08","CENTRAL",35,25,180,36,25,1,0
"2020-11-09","CENTRAL",35,23,186,36,23,1,0
"2020-11-10","CENTRAL",37,23,200,38,23,1,0
"2020-11-11","CENTRAL",40,26,213,42,26,2,0
"2020-11-12","CENTRAL",45,28,231,46,28,1,0
"2020-11-13","CENTRAL",43,27,224,43,27,0,0
"2020-11-14","CENTRAL",47,30,231,47,30,0,0
"2020-11-15","CENTRAL",50,29,246,50,29,0,0
"2020-11-16","CENTRAL",52,30,249,52,30,0,0
"2020-11-17","CENTRAL",53,34,246,53,34,0,0
"2020-11-18","CENTRAL",60,34,246,60,34,0,0
"2020-11-19","CENTRAL",59,35,237,59,35,0,0
"2020-11-20","CENTRAL",56,32,234,56,32,0,0
"2020-11-21","CENTRAL",60,32,250,60,32,0,0
"2020-11-22","CENTRAL",63,42,256,63,42,0,0
"2020-11-23","CENTRAL",68,42,250,68,42,0,0
"2020-11-24","CENTRAL",71,51,258,71,51,0,0
"2020-11-25","CENTRAL",70,50,258,70,50,0,0
"2020-11-26","CENTRAL",71,46,277,71,46,0,0
"2020-11-27","CENTRAL",72,48,274,72,48,0,0
"2020-11-28","CENTRAL",74,44,272,76,44,2,0
"2020-11-29","CENTRAL",77,54,277,79,54,2,0
"2020-11-30","CENTRAL",81,56,275,82,56,1,0
"2020-12-01","CENTRAL",77,47,273,78,47,1,0
"2020-12-02","CENTRAL",81,53,282,82,53,1,0
"2020-12-03","CENTRAL",81,53,279,82,53,1,0
