timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-21,1308.8608010479077,-10529.650383800805,-7061.606292935902,-5212.804823844019,-2123.538493501926,1308.8608010479077,4741.2598919126085,7830.5266296249665,9679.328506087115,13147.372596952016
2021-03-28,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-04-04,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-04-11,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-04-18,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-04-25,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-05-02,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-05-09,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-05-16,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-05-23,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-05-30,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
2021-06-06,1319.8331154413565,-10518.678273092488,-7050.634182227586,-5201.832305765438,-2112.5659754233448,1319.8331154413565,4752.23240999119,7841.498740333283,9690.300616795432,13158.344707660333
