,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2020-09-27,2328.0806,1338.0375,1702.3751,1819.485,2067.542,2588.6191,2807.6687,3179.3389,4532.3516
2020-10-04,2345.0154,1455.1719,1786.1014,1871.5039,2084.1643,2605.8665,2826.6824,3213.1304,4716.3857
2020-10-11,2403.456,1441.532,1784.0164,1893.6588,2133.336,2673.576,2878.8008,3264.5308,4705.698
2020-10-18,2212.191,1308.3379,1635.1434,1755.9736,1967.3564,2457.0251,2628.6519,2942.855,4230.244
2020-10-25,2118.1543,1190.6553,1530.2578,1671.4719,1879.8826,2356.4258,2520.8774,2777.4478,3929.386
2020-11-01,2284.3047,1367.573,1691.024,1798.4086,2008.5884,2560.021,2752.3313,3075.4824,4445.15
2020-11-08,2169.9053,1255.0494,1567.9486,1699.6519,1900.23,2439.5806,2612.12,2890.823,4156.3037
2020-11-15,1906.6135,887.9463,1193.3069,1434.8069,1600.717,2212.51,2421.9905,2626.8042,3625.3862
2020-11-22,1904.3081,890.02673,1223.8295,1448.5847,1633.556,2175.06,2366.007,2531.5295,3442.4216
2020-11-29,1867.2968,863.62134,1198.3936,1437.6809,1610.7976,2123.796,2321.9692,2457.604,3280.8906
2020-12-06,2069.5923,1134.3059,1438.9042,1605.1213,1788.365,2350.8198,2534.2527,2738.0303,3819.8433
2020-12-13,2028.6301,1049.4316,1365.3602,1565.1803,1755.3733,2301.887,2473.3203,2654.4343,3615.454
2020-12-20,2003.5149,957.1836,1305.8735,1529.8994,1739.2406,2267.7893,2442.519,2595.2092,3432.209
2020-12-27,1981.8665,865.54395,1245.4497,1488.6787,1717.0605,2246.6724,2437.5508,2561.1465,3302.9104
2021-01-03,2269.9673,1069.1345,1466.8821,1668.1034,1931.4159,2608.5188,2816.1394,3044.6843,4041.9863
2021-01-10,2349.171,1526.9363,1808.427,1909.8767,2114.666,2583.6755,2965.6501,3574.4067,5653.458
2021-01-17,2280.4033,1434.3019,1664.4093,1784.0546,1969.0918,2591.7146,3023.4507,3653.7412,5670.4863
2021-01-24,2159.3215,1308.5767,1515.8105,1619.0432,1779.1992,2539.4438,2981.863,3640.8274,5486.9375
2021-01-31,2106.4114,1202.0365,1395.9592,1515.7478,1670.8639,2541.959,3036.1304,3734.9475,5443.77
2021-02-07,2197.4084,1319.6418,1524.0078,1629.2457,1797.7646,2597.0522,3064.3672,3724.658,5578.33
2021-02-14,2256.403,1340.3363,1542.2894,1661.855,1846.6161,2666.19,3129.8179,3793.298,5632.1187
2021-02-21,2274.2842,1313.9384,1525.6565,1656.1956,1850.919,2697.6494,3165.3857,3824.5706,5615.129
2021-02-28,2292.8635,1286.1064,1511.2367,1649.8251,1856.0966,2729.6304,3208.1133,3849.1826,5578.8
2021-03-07,2359.1008,1376.167,1589.678,1722.6873,1933.8221,2784.3794,3243.9653,3877.7695,5731.752
2021-03-14,2301.0542,1290.744,1515.8287,1664.1237,1870.8018,2731.3066,3158.926,3773.678,5484.9062
2021-03-21,2223.4905,1167.271,1444.3462,1587.6101,1811.7858,2635.195,3027.0781,3569.3604,5099.7676
