,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-07-31,1799.004,-1701.5739,329.27484,849.4326,1387.6206,2210.3872,2748.5752,3268.7332,5299.582
2022-08-07,2140.399,34.12761,1256.4858,1569.4097,1893.0701,2387.7275,2711.388,3024.3118,4246.6704
2022-08-14,1776.5756,-714.8477,730.649,1100.8414,1483.8374,2069.3137,2452.3098,2822.5022,4267.9985
2022-08-21,2106.6323,-142.83841,1162.5386,1496.7479,1842.4471,2370.8176,2716.5166,3050.726,4356.103
2022-08-28,1698.946,-1097.9286,524.7452,940.3287,1370.2974,2027.5946,2457.5632,2873.1467,4495.8203
2022-09-04,1763.3794,-510.62476,808.88855,1146.7552,1496.2646,2030.494,2380.0032,2717.8704,4037.3835
2022-09-11,1884.9171,-51.485237,1072.1222,1359.83,1657.4543,2112.38,2410.0042,2697.712,3821.3193
2022-09-18,1803.687,-434.30936,864.2421,1196.7675,1540.7694,2066.6047,2410.6067,2743.1318,4041.6833
2022-09-25,1517.1776,-853.6447,521.7747,874.0605,1238.559,1795.7961,2160.2944,2512.5806,3888.0
2022-10-02,1696.047,-358.93234,833.6216,1138.9297,1454.7231,1937.3708,2253.1643,2558.4724,3751.0266
2022-10-09,1876.4683,-2534.3357,22.893396,678.51196,1357.3082,2395.6284,3074.4243,3730.0432,6287.272
2022-10-16,1687.6617,-961.8046,575.5135,969.1733,1376.4144,1998.909,2406.1501,2799.81,4337.1284
2022-10-23,1631.296,-1120.961,475.63297,884.6109,1307.7974,1954.7949,2377.9812,2786.959,4383.553
2022-10-30,1730.4087,-711.0004,705.7794,1068.5028,1443.6914,2017.126,2392.3145,2755.038,4171.818
2022-11-06,1867.7812,-803.4548,746.4225,1143.3258,1553.9419,2181.6206,2592.2366,2989.1401,4539.017
2022-11-13,1907.5419,-107.278564,1061.9628,1361.3053,1670.9304,2144.153,2453.7783,2753.121,3922.3623
2022-11-20,1781.0834,-631.04205,768.65894,1127.0424,1497.7643,2064.4023,2435.1243,2793.5078,4193.2085
2022-11-27,2094.1794,-164.8627,1146.2775,1481.8828,1828.9703,2359.3884,2706.4758,3042.0813,4353.2217
2022-12-04,2040.1616,-734.14435,875.7159,1287.9111,1714.2993,2366.024,2792.4119,3204.6072,4814.468
2022-12-11,2035.6367,-1272.8616,646.2167,1137.8745,1646.665,2424.6084,2933.3987,3425.057,5344.135
2022-12-18,2181.0293,-70.38256,1236.3947,1570.8584,1916.7474,2445.3113,2791.2002,3125.664,4432.4414
2022-12-25,2235.9048,119.02604,1347.759,1662.2317,1987.4353,2484.3743,2809.578,3124.0503,4352.783
2023-01-01,2095.9868,-217.29898,1125.2686,1468.9393,1824.3829,2367.5906,2723.034,3066.705,4409.2725
2023-01-08,2124.595,-62.123497,1206.9244,1531.7999,1867.8212,2381.369,2717.39,3042.2654,4311.3135
2023-01-15,2019.8406,-284.48242,1052.7821,1395.1338,1749.2405,2290.4404,2644.547,2986.899,4324.1636
2023-01-22,1730.2875,-1086.0548,547.97473,966.4434,1399.3806,2061.1943,2494.1316,2912.6,4546.63
