,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2022-04-03,1887.7776283184687,-9536.45767243249,-6189.774185230618,-4405.6688862936835,-1424.5082864829471,1887.7776283184687,5200.063543119884,8181.224569252559,9965.329015545618,13312.01250274749
2022-04-10,1887.1579813821622,-9567.261906962824,-6211.735904399818,-4422.917118801325,-1433.879564457595,1887.1579813821622,5208.1957409460965,8197.233509014004,9986.051867164142,13341.577869727149
2022-04-17,1889.8398935929783,-9580.858307892422,-6220.5636392989245,-4429.202695072822,-1435.9173054155315,1889.8398935929783,5215.597306629397,8208.882910314596,10000.243426484882,13360.538095078378
2022-04-24,1894.6858406066895,-9605.425643920898,-6236.514472961426,-4440.560102462769,-1439.5992994308472,1894.6858406066895,5228.971195220947,8229.93221282959,10025.886154174805,13394.797325134277
2022-05-01,1898.6453995414984,-9625.499287854846,-6249.547687267589,-4449.840089177417,-1442.6078078317864,1898.6453995414984,5239.898821939932,8247.13131831071,10046.838486350585,13422.790086937843
2022-05-08,1846.2705153365469,-9691.729363951572,-6311.718636473944,-4509.847362041473,-1498.999672642974,1846.2705153365469,5191.540488032408,8202.388392714567,10004.259236579717,13384.269533490025
2022-05-15,1905.1095366279285,-9658.270308150186,-6270.824926813444,-4464.990035742521,-1447.519317181574,1905.1095366279285,5257.738606194655,8275.209540512828,10081.0440000693,13468.489381406043
2022-05-22,1909.9510130091196,-9682.814979562012,-6286.761045020846,-4476.336965346666,-1451.197914370194,1909.9510130091196,5271.100156693964,8296.239423975967,10106.663071039085,13502.71700558025
2022-05-29,1908.5130924270786,-9706.21894789617,-6303.729842003332,-4489.875426797692,-1459.0044359455414,1908.5130924270786,5276.030404084319,8306.901611651849,10120.755593426731,13523.244265888809
2022-06-05,1914.608399737371,-9706.426377797236,-6302.091216975695,-4487.252445498558,-1454.7366385889923,1914.608399737371,5283.953654896723,8316.469678639276,10131.308016450437,13535.643177271977
2022-06-12,1917.1971963644028,-9719.550713755869,-6310.612454262647,-4493.319787518545,-1456.7036294910042,1917.1971963644028,5291.098239345984,8327.714614499699,10145.006846991453,13553.945106484674
2022-06-19,1922.5917338699237,-9746.899220712583,-6328.369018705722,-4505.96292207144,-1460.8024474835504,1922.5917338699237,5305.986132960514,8351.14682528552,10173.55248644557,13592.08268845243
2022-06-26,1937.3185625044075,-9753.4831769359,-6328.710130554062,-4502.975559874698,-1452.2542985989166,1937.3185625044075,5326.891423607732,8377.613121152997,10203.34681929339,13628.11986567523
2022-07-03,1945.0915002726654,-9746.803327166981,-6321.710065080446,-4495.804788525329,-1444.7982853239428,1945.0915002726654,5334.981285869274,8385.988225380936,10211.8926293155,13636.985891402035
2022-07-10,1891.5373660757075,-9796.220808748689,-6372.339234530926,-4547.080776865993,-1497.1531855102096,1891.5373660757075,5280.227917661625,8330.155072861484,10155.414402838265,13579.295977056026
2022-07-17,1926.8206481107075,-9768.338406261868,-6342.288838183084,-4515.874194669724,-1464.0156144624286,1926.8206481107075,5317.657128899892,8369.515927323235,10195.9301344045,13621.979702483282
2022-07-24,1914.5352279739043,-9780.184393047231,-6354.263863761868,-4527.917777711312,-1476.1737540105803,1914.5352279739043,5305.243991750532,8356.98823365912,10183.334756125392,13609.25572182647
2022-07-31,1924.2582739890936,-9786.29499255193,-6355.7354432612265,-4526.916778028799,-1471.0411832096293,1924.2582739890936,5319.557512684541,8375.433326006985,10204.251554232862,13634.810666517014
2022-08-07,1958.0206467964147,-9764.330833880525,-6330.315290365303,-4499.654451581469,-1440.6997160618764,1958.0206467964147,5356.7410096547055,8415.695307727445,10246.357021404985,13680.372564920208
2022-08-14,1959.3591011596038,-9771.005488322811,-6334.642536931683,-4502.730303791413,-1441.6845426642737,1959.3591011596038,5360.402744983481,8421.448068364738,10253.361176996772,13689.724128387901
2022-08-21,1943.3033113064973,-9794.588475102963,-6356.020590077275,-4522.932039012079,-1459.9226036071777,1943.3033113064973,5346.529226220172,8409.539099651834,10242.62677466351,13681.194659689198
2022-08-28,1934.693877356393,-9808.253054102777,-6368.204220610779,-4534.326619296879,-1469.9977646761643,1934.693877356393,5339.385738496656,8403.714812225076,10237.591975323565,13677.640808815564
2022-09-04,1939.8615755562123,-9834.451561393409,-6385.214124798775,-4546.438112377093,-1473.924228129202,1939.8615755562123,5353.6475989345845,8426.161702875434,10264.9372759112,13714.174712505834
2022-09-11,1942.1839973261428,-9846.225465619002,-6392.858567307436,-4551.881153767713,-1475.6888250250674,1942.1839973261428,5360.05703963333,8436.249588331952,10277.226561959722,13730.593460271288
2022-09-18,1943.4429627015043,-9852.608000412965,-6397.0025555170505,-4554.8317808829825,-1476.645398211785,1943.4429627015043,5363.5315437133495,8441.718146483105,10283.888480920059,13739.493925815974
2022-09-25,1907.3679662765342,-9878.207058602191,-6425.670433044434,-4585.136074715472,-1509.6831169534237,1907.3679662765342,5324.419049506492,8399.871567462353,10240.406805403689,13692.943430961446
