,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-14,2309.2505,1227.8442,1687.242,1763.9436,2069.3884,2549.2297,2748.6504,2977.4731,3454.5833
2021-03-21,2252.457,1161.9703,1634.4122,1713.6207,2014.3815,2492.5115,2692.4067,2927.6338,3392.2307
2021-03-28,2238.571,1143.6984,1619.0858,1698.4927,2001.3159,2477.651,2680.8752,2917.525,3377.5208
2021-04-04,2231.8135,1163.2842,1622.6361,1697.2756,2001.5239,2465.1248,2664.8853,2893.8657,3352.1768
2021-04-11,2216.3196,1153.6099,1611.2281,1682.6705,1983.6117,2449.7869,2647.9126,2874.117,3335.6216
2021-04-18,2215.91,1161.4584,1614.5117,1684.8185,1982.4628,2444.7576,2646.141,2869.6948,3330.195
2021-04-25,2272.0396,1219.6683,1666.3837,1733.3268,2038.4889,2500.2544,2702.689,2923.5635,3392.7085
2021-05-02,2306.547,1261.0436,1699.0245,1769.9053,2073.6553,2535.5154,2731.4136,2948.9812,3430.5203
2021-05-09,2306.1812,1264.779,1696.1594,1775.2505,2077.9924,2538.383,2735.7666,2949.6626,3440.028
2021-05-16,2284.1174,1237.6627,1672.2821,1749.2422,2055.7114,2517.0562,2718.7822,2928.0076,3431.9253
2021-05-23,2356.1404,1306.7098,1742.0494,1823.874,2130.757,2593.456,2789.4954,2992.3591,3503.6614
2021-05-30,2425.978,1366.1135,1798.1724,1886.644,2198.4333,2670.4182,2862.875,3067.3005,3595.4385
2021-06-06,2476.1045,1432.5342,1840.2588,1934.0867,2245.83,2716.383,2908.202,3121.492,3655.9858
2021-06-13,2517.5237,1476.5405,1882.8682,1983.6113,2283.88,2754.9998,2964.0947,3173.3403,3687.987
2021-06-20,2550.5874,1491.1243,1904.8679,2013.4657,2310.1013,2796.6897,2998.7266,3239.2705,3736.5286
2021-06-27,2606.8704,1540.9329,1951.0095,2062.8108,2362.9343,2853.4856,3067.2856,3295.3767,3803.1584
2021-07-04,2622.7805,1548.8838,1949.678,2071.7048,2373.3792,2872.4763,3091.114,3320.6548,3835.3572
2021-07-11,2646.8628,1555.5424,1969.0544,2088.3281,2390.5874,2899.0596,3117.4666,3369.9844,3865.0261
2021-07-18,2650.6455,1552.4431,1971.6309,2092.1956,2393.8096,2904.2798,3130.3271,3381.5781,3872.4805
2021-07-25,2642.3105,1538.9209,1957.954,2081.401,2381.9502,2901.169,3125.9985,3382.307,3873.7417
2021-08-01,2626.0151,1543.735,1948.1646,2076.5657,2365.4392,2882.0498,3104.2227,3357.8694,3842.1187
2021-08-08,2567.986,1495.2349,1891.5852,2036.9117,2309.4507,2820.9458,3039.4563,3297.7432,3770.9434
2021-08-15,2490.0088,1427.1414,1819.1865,1979.1754,2228.4414,2737.915,2953.7002,3225.177,3674.997
2021-08-22,2476.991,1414.1655,1799.134,1985.6819,2209.799,2722.5251,2936.1304,3207.6665,3648.913
2021-08-29,2481.982,1408.0046,1811.7296,1978.5125,2218.4062,2729.107,2944.7524,3223.848,3651.9243
2021-09-05,2502.401,1432.6156,1833.1659,1985.3635,2237.7593,2750.7905,2965.588,3243.1145,3680.2185
