DATE,IS_MENTAL_HEALTH,IS_SUBSTANCE_ABUSE,IS_PROBLEM_GAMBLING,IS_OTHER,connex_IS_MENTAL_HEALTH_Concurrent Disorder Clients,connex_IS_SUBSTANCE_ABUSE_Concurrent Disorder Clients,connex_IS_PROBLEM_GAMBLING_Concurrent Disorder Clients,connex_IS_OTHER_Concurrent Disorder Clients,connex_IS_MENTAL_HEALTH_Concurrent Disorders,connex_IS_SUBSTANCE_ABUSE_Concurrent Disorders,connex_IS_PROBLEM_GAMBLING_Concurrent Disorders,connex_IS_OTHER_Concurrent Disorders,connex_IS_MENTAL_HEALTH_Families,connex_IS_SUBSTANCE_ABUSE_Families,connex_IS_PROBLEM_GAMBLING_Families,connex_IS_OTHER_Families,connex_IS_MENTAL_HEALTH_Clients with Legal Issues,connex_IS_SUBSTANCE_ABUSE_Clients with Legal Issues,connex_IS_PROBLEM_GAMBLING_Clients with Legal Issues,connex_IS_OTHER_Clients with Legal Issues,connex_IS_MENTAL_HEALTH_LGBTQ+,connex_IS_SUBSTANCE_ABUSE_LGBTQ+,connex_IS_PROBLEM_GAMBLING_LGBTQ+,connex_IS_OTHER_LGBTQ+,connex_IS_MENTAL_HEALTH_Homeless Clients,connex_IS_SUBSTANCE_ABUSE_Homeless Clients,connex_IS_PROBLEM_GAMBLING_Homeless Clients,connex_IS_OTHER_Homeless Clients,connex_IS_MENTAL_HEALTH_Opioid Replacement Clients,connex_IS_SUBSTANCE_ABUSE_Opioid Replacement Clients,connex_IS_PROBLEM_GAMBLING_Opioid Replacement Clients,connex_IS_OTHER_Opioid Replacement Clients,connex_IS_MENTAL_HEALTH_Gender Diverse,connex_IS_SUBSTANCE_ABUSE_Gender Diverse,connex_IS_PROBLEM_GAMBLING_Gender Diverse,connex_IS_OTHER_Gender Diverse,connex_IS_MENTAL_HEALTH_Homelessness,connex_IS_SUBSTANCE_ABUSE_Homelessness,connex_IS_PROBLEM_GAMBLING_Homelessness,connex_IS_OTHER_Homelessness,connex_IS_MENTAL_HEALTH_Caregivers,connex_IS_SUBSTANCE_ABUSE_Caregivers,connex_IS_PROBLEM_GAMBLING_Caregivers,connex_IS_OTHER_Caregivers,connex_IS_MENTAL_HEALTH_Depressive Disorders,connex_IS_SUBSTANCE_ABUSE_Depressive Disorders,connex_IS_PROBLEM_GAMBLING_Depressive Disorders,connex_IS_OTHER_Depressive Disorders,connex_IS_MENTAL_HEALTH_Anxiety Disorder,connex_IS_SUBSTANCE_ABUSE_Anxiety Disorder,connex_IS_PROBLEM_GAMBLING_Anxiety Disorder,connex_IS_OTHER_Anxiety Disorder,connex_IS_MENTAL_HEALTH_Trauma- and Stressor-Related Disorders,connex_IS_SUBSTANCE_ABUSE_Trauma- and Stressor-Related Disorders,connex_IS_PROBLEM_GAMBLING_Trauma- and Stressor-Related Disorders,connex_IS_OTHER_Trauma- and Stressor-Related Disorders,connex_IS_MENTAL_HEALTH_Schizophrenia Spectrum and Other Psychotic Disorders,connex_IS_SUBSTANCE_ABUSE_Schizophrenia Spectrum and Other Psychotic Disorders,connex_IS_PROBLEM_GAMBLING_Schizophrenia Spectrum and Other Psychotic Disorders,connex_IS_OTHER_Schizophrenia Spectrum and Other Psychotic Disorders,connex_IS_MENTAL_HEALTH_Bipolar and Related Disorders (BP),connex_IS_SUBSTANCE_ABUSE_Bipolar and Related Disorders (BP),connex_IS_PROBLEM_GAMBLING_Bipolar and Related Disorders (BP),connex_IS_OTHER_Bipolar and Related Disorders (BP),connex_IS_MENTAL_HEALTH_Neurodevelopmental Disorders,connex_IS_SUBSTANCE_ABUSE_Neurodevelopmental Disorders,connex_IS_PROBLEM_GAMBLING_Neurodevelopmental Disorders,connex_IS_OTHER_Neurodevelopmental Disorders,connex_IS_MENTAL_HEALTH_Personality Disorders,connex_IS_SUBSTANCE_ABUSE_Personality Disorders,connex_IS_PROBLEM_GAMBLING_Personality Disorders,connex_IS_OTHER_Personality Disorders,connex_IS_MENTAL_HEALTH_Obsessive-Compulsive and Related Disorders,connex_IS_SUBSTANCE_ABUSE_Obsessive-Compulsive and Related Disorders,connex_IS_PROBLEM_GAMBLING_Obsessive-Compulsive and Related Disorders,connex_IS_OTHER_Obsessive-Compulsive and Related Disorders,connex_IS_MENTAL_HEALTH_Feeding and Eating Disorders,connex_IS_SUBSTANCE_ABUSE_Feeding and Eating Disorders,connex_IS_PROBLEM_GAMBLING_Feeding and Eating Disorders,connex_IS_OTHER_Feeding and Eating Disorders,connex_IS_MENTAL_HEALTH_Neurocognitive Disorders (Dementia),connex_IS_SUBSTANCE_ABUSE_Neurocognitive Disorders (Dementia),connex_IS_PROBLEM_GAMBLING_Neurocognitive Disorders (Dementia),connex_IS_OTHER_Neurocognitive Disorders (Dementia),connex_IS_MENTAL_HEALTH_Indigenous Peoples,connex_IS_SUBSTANCE_ABUSE_Indigenous Peoples,connex_IS_PROBLEM_GAMBLING_Indigenous Peoples,connex_IS_OTHER_Indigenous Peoples,connex_IS_MENTAL_HEALTH_Indian,connex_IS_SUBSTANCE_ABUSE_Indian,connex_IS_PROBLEM_GAMBLING_Indian,connex_IS_OTHER_Indian,connex_IS_MENTAL_HEALTH_African,connex_IS_SUBSTANCE_ABUSE_African,connex_IS_PROBLEM_GAMBLING_African,connex_IS_OTHER_African,connex_IS_MENTAL_HEALTH_Chinese,connex_IS_SUBSTANCE_ABUSE_Chinese,connex_IS_PROBLEM_GAMBLING_Chinese,connex_IS_OTHER_Chinese,connex_IS_MENTAL_HEALTH_South Asian,connex_IS_SUBSTANCE_ABUSE_South Asian,connex_IS_PROBLEM_GAMBLING_South Asian,connex_IS_OTHER_South Asian,connex_IS_MENTAL_HEALTH_Asian,connex_IS_SUBSTANCE_ABUSE_Asian,connex_IS_PROBLEM_GAMBLING_Asian,connex_IS_OTHER_Asian,connex_IS_MENTAL_HEALTH_Arabic,connex_IS_SUBSTANCE_ABUSE_Arabic,connex_IS_PROBLEM_GAMBLING_Arabic,connex_IS_OTHER_Arabic,connex_IS_MENTAL_HEALTH_Spanish,connex_IS_SUBSTANCE_ABUSE_Spanish,connex_IS_PROBLEM_GAMBLING_Spanish,connex_IS_OTHER_Spanish,connex_IS_MENTAL_HEALTH_Italian,connex_IS_SUBSTANCE_ABUSE_Italian,connex_IS_PROBLEM_GAMBLING_Italian,connex_IS_OTHER_Italian,connex_IS_MENTAL_HEALTH_Caribbean,connex_IS_SUBSTANCE_ABUSE_Caribbean,connex_IS_PROBLEM_GAMBLING_Caribbean,connex_IS_OTHER_Caribbean
2015-01-01,40,30,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-02,68,69,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0,0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-03,68,45,11,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0,0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,89,50,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,1,0,0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,100,107,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0,0,25.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,118,95,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,1,0,35.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,86,88,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,0,0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,115,93,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,7,4,0,24.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,83,68,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,2,0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-10,42,38,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,2,0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
