,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-04-03,2446.9246,1344.7521,1909.1533,2080.537,2279.4604,2614.3887,2813.312,2984.696,3549.0972
2022-04-10,2284.9714,545.03253,1456.529,1725.3816,2031.4194,2538.5237,2844.5613,3113.4138,4024.9102
2022-04-17,2357.1167,1242.6946,1825.3727,1997.6692,2194.1262,2520.107,2716.5642,2888.8608,3471.5388
2022-04-24,2496.2964,446.18073,1430.4822,1753.7753,2149.1257,2843.467,3238.8174,3562.1106,4546.412
2022-05-01,2415.6345,1330.746,1882.4731,2051.4678,2248.7576,2582.5115,2779.8013,2948.7957,3500.523
2022-05-08,2248.7095,466.10498,1397.6729,1673.315,1987.7471,2509.6719,2824.1038,3099.746,4031.314
2022-05-15,2189.8801,276.86526,1299.9058,1593.6151,1921.9318,2457.8286,2786.1448,3079.8545,4102.895
2022-05-22,2216.0425,899.79364,1608.0365,1809.7108,2033.9077,2398.177,2622.374,2824.0486,3532.2913
2022-05-29,2140.6887,263.96524,1273.9493,1561.4835,1881.0823,2400.2952,2719.894,3007.4282,4017.4124
2022-06-05,2273.001,1293.7836,1819.9291,1970.0355,2137.1194,2408.8826,2575.9666,2726.073,3252.2185
2022-06-12,2220.607,1130.9304,1720.7954,1887.411,2071.629,2369.5847,2553.8027,2720.4182,3310.2832
2022-06-19,2181.7556,834.6469,1559.8242,1766.1952,1995.5193,2367.9917,2597.3157,2803.687,3528.8643
2022-06-26,2149.1565,915.53217,1585.8676,1774.2413,1981.7946,2316.5186,2524.0715,2712.4453,3382.7808
2022-07-03,2144.5833,693.77686,1478.866,1700.7256,1946.0986,2343.0676,2588.441,2810.3005,3595.3894
2022-07-10,2390.7625,137.00696,1231.5116,1586.1693,2016.0062,2765.5186,3195.3555,3550.0134,4644.5186
2022-07-17,2264.287,1318.516,1822.8809,1968.2194,2131.0886,2397.4856,2560.355,2705.6934,3210.0583
2022-07-24,2188.3218,796.19604,1549.2853,1762.1954,1997.7402,2378.9033,2614.448,2827.3582,3580.4478
2022-07-31,2038.9293,-438.37128,905.14746,1283.6895,1701.5131,2376.3457,2794.1692,3172.7112,4516.23
2022-08-07,2179.7266,928.99243,1607.9855,1799.0355,2009.7184,2349.7346,2560.4172,2751.4675,3430.4607
2022-08-14,2030.9834,-337.66888,946.89026,1308.8341,1708.3472,2353.6196,2753.1328,3115.0764,4399.6357
2022-08-21,2266.6519,1148.1636,1740.518,1912.7761,2107.0002,2426.3037,2620.5273,2792.7856,3385.1401
2022-08-28,2001.1328,-480.70218,870.16205,1248.9108,1665.5803,2336.6853,2753.3545,3132.1035,4482.968
2022-09-04,2021.2197,-111.57608,1047.7817,1373.4164,1732.0852,2310.354,2669.023,2994.6577,4154.0156
2022-09-11,2038.7861,127.23055,1163.3713,1455.5201,1778.1432,2299.4292,2622.052,2914.201,3950.3418
2022-09-18,2052.4836,99.94835,1159.7072,1457.98,1786.9678,2317.9998,2646.987,2945.2603,4005.019
2022-09-25,1952.2826,-594.0865,791.2172,1179.883,1607.6567,2296.9082,2724.682,3113.348,4498.6514
