Category: All categories

Week,rsv: (Ontario)
2018-01-07,4
2018-01-14,2
2018-01-21,2
2018-01-28,2
2018-02-04,4
2018-02-11,3
2018-02-18,1
2018-02-25,1
2018-03-04,1
2018-03-11,2
2018-03-18,1
2018-03-25,<1
2018-04-01,1
2018-04-08,1
2018-04-15,1
2018-04-22,<1
2018-04-29,<1
2018-05-06,1
2018-05-13,1
2018-05-20,1
2018-05-27,1
2018-06-03,0
2018-06-10,1
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,<1
2018-07-15,1
2018-07-22,0
2018-07-29,<1
2018-08-05,0
2018-08-12,<1
2018-08-19,1
2018-08-26,0
2018-09-02,0
2018-09-09,1
2018-09-16,0
2018-09-23,1
2018-09-30,1
2018-10-07,4
2018-10-14,2
2018-10-21,2
2018-10-28,2
2018-11-04,2
2018-11-11,2
2018-11-18,2
2018-11-25,3
2018-12-02,2
2018-12-09,3
2018-12-16,4
2018-12-23,3
2018-12-30,6
2019-01-06,5
2019-01-13,4
2019-01-20,6
2019-01-27,3
2019-02-03,3
2019-02-10,1
2019-02-17,3
2019-02-24,1
2019-03-03,1
2019-03-10,3
2019-03-17,3
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,2
2019-04-28,1
2019-05-05,<1
2019-05-12,1
2019-05-19,2
2019-05-26,0
2019-06-02,1
2019-06-09,<1
2019-06-16,<1
2019-06-23,<1
2019-06-30,<1
2019-07-07,<1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,0
2019-08-11,1
2019-08-18,0
2019-08-25,1
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,1
2019-10-13,2
2019-10-20,1
2019-10-27,1
2019-11-03,1
2019-11-10,3
2019-11-17,2
2019-11-24,3
2019-12-01,4
2019-12-08,4
2019-12-15,5
2019-12-22,7
2019-12-29,6
2020-01-05,5
2020-01-12,5
2020-01-19,3
2020-01-26,4
2020-02-02,3
2020-02-09,3
2020-02-16,2
2020-02-23,2
2020-03-01,3
2020-03-08,2
2020-03-15,2
2020-03-22,1
2020-03-29,2
2020-04-05,1
2020-04-12,1
2020-04-19,<1
2020-04-26,1
2020-05-03,<1
2020-05-10,1
2020-05-17,1
2020-05-24,<1
2020-05-31,<1
2020-06-07,1
2020-06-14,1
2020-06-21,<1
2020-06-28,<1
2020-07-05,0
2020-07-12,1
2020-07-19,1
2020-07-26,<1
2020-08-02,1
2020-08-09,1
2020-08-16,0
2020-08-23,0
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,<1
2020-10-04,1
2020-10-11,2
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,0
2021-02-21,<1
2021-02-28,1
2021-03-07,1
2021-03-14,0
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,0
2021-05-30,0
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,5
2021-07-25,4
2021-08-01,3
2021-08-08,4
2021-08-15,3
2021-08-22,4
2021-08-29,3
2021-09-05,2
2021-09-12,6
2021-09-19,5
2021-09-26,5
2021-10-03,4
2021-10-10,4
2021-10-17,5
2021-10-24,3
2021-10-31,5
2021-11-07,5
2021-11-14,8
2021-11-21,8
2021-11-28,9
2021-12-05,9
2021-12-12,8
2021-12-19,12
2021-12-26,8
2022-01-02,7
2022-01-09,6
2022-01-16,4
2022-01-23,2
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,2
2022-03-06,2
2022-03-13,2
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,2
2022-04-17,2
2022-04-24,2
2022-05-01,1
2022-05-08,2
2022-05-15,2
2022-05-22,2
2022-05-29,2
2022-06-05,1
2022-06-12,3
2022-06-19,1
2022-06-26,2
2022-07-03,1
2022-07-10,2
2022-07-17,2
2022-07-24,1
2022-07-31,2
2022-08-07,2
2022-08-14,1
2022-08-21,1
2022-08-28,3
2022-09-04,3
2022-09-11,2
2022-09-18,2
2022-09-25,3
2022-10-02,3
2022-10-09,5
2022-10-16,10
2022-10-23,64
2022-10-30,60
2022-11-06,86
2022-11-13,100
2022-11-20,64
2022-11-27,46
2022-12-04,41
2022-12-11,33
2022-12-18,26
2022-12-25,18
2023-01-01,18
2023-01-08,11
2023-01-15,11
2023-01-22,7
2023-01-29,6
2023-02-05,7
2023-02-12,4
2023-02-19,5
2023-02-26,5
