,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-09-05,1887.6222,245.1763,1196.8541,1441.0547,1694.0369,2081.2075,2334.1897,2578.3901,3530.068
2021-09-12,1767.5068,26.189243,1034.5516,1293.5271,1561.9778,1973.0359,2241.4863,2500.462,3508.8245
2021-09-19,1745.09,139.48141,1069.5286,1308.2874,1555.7091,1934.4711,2181.8926,2420.6516,3350.6987
2021-09-26,1787.7808,180.37155,1111.5244,1350.5433,1598.2177,1977.3439,2225.018,2464.037,3395.19
2021-10-03,1603.6068,-158.10365,862.2036,1124.1952,1395.7361,1811.4777,2083.0183,2345.01,3365.3174
2021-10-10,1717.8856,278.09055,1112.2247,1326.3099,1548.1268,1887.6444,2109.4612,2323.5466,3157.6807
2021-10-17,1844.4406,-162.41449,999.6664,1298.1396,1607.5464,2081.335,2390.7415,2689.2148,3851.2954
2021-10-24,1846.289,-249.45602,964.3182,1275.9845,1599.0083,2093.5698,2416.5933,2728.2598,3942.0342
2021-10-31,1880.0885,214.4114,1179.8003,1427.4241,1683.8853,2076.2917,2332.753,2580.3767,3545.7656
2021-11-07,2018.9863,-158.93642,1102.914,1426.7417,1762.2408,2275.7317,2611.231,2935.0588,4196.9087
2021-11-14,2079.7488,-697.82385,910.8328,1323.8972,1752.0154,2407.4824,2835.6003,3248.6648,4857.322
2021-11-21,2249.7727,-252.22691,1197.4554,1569.4608,1954.8556,2544.6895,2930.0845,3302.0898,4751.7725
2021-11-28,2251.4138,260.77374,1414.5582,1710.4849,2016.9586,2485.8687,2792.3425,3088.2693,4242.0537
2021-12-05,2283.8938,130.09317,1378.4285,1698.6127,2030.2133,2537.5747,2869.175,3189.3594,4437.6943
2021-12-12,2010.4579,-258.97906,1055.2803,1392.7906,1742.6299,2278.286,2628.125,2965.6357,4279.895
2021-12-19,2197.2004,251.07816,1378.397,1667.7875,1967.67,2426.7305,2726.613,3016.004,4143.3223
2021-12-26,2366.1904,429.1465,1551.5728,1839.5682,2137.9067,2594.474,2892.8125,3180.8083,4303.2344
2022-01-02,2223.976,51.571064,1310.2142,1633.2229,1967.8761,2480.076,2814.7292,3137.7378,4396.3813
2022-01-09,2233.2224,330.547,1432.9899,1715.8839,2008.9563,2457.4885,2750.5608,3033.4548,4135.898
2022-01-16,2326.229,333.88565,1488.2703,1784.4982,2091.3875,2561.0703,2867.9597,3164.1875,4318.5723
2022-01-23,1895.4628,-229.73148,1000.5515,1316.6648,1644.4445,2146.4812,2474.2605,2790.374,4020.657
2022-01-30,1945.2516,-79.90369,1092.7935,1393.9861,1706.2065,2184.2966,2496.5168,2797.7097,3970.407
2022-02-06,2128.2793,205.37772,1319.2466,1605.1841,1901.4883,2355.0706,2651.3748,2937.3123,4051.181
2022-02-13,2231.8865,-123.651665,1240.9663,1591.2203,1954.1356,2509.6372,2872.5522,3222.8066,4587.4243
2022-02-20,2215.2712,196.2802,1366.019,1666.2194,1977.2473,2453.295,2764.3228,3064.5232,4234.262
2022-02-27,2380.7207,-118.0114,1329.6837,1701.2147,2086.1436,2675.2979,3060.2268,3431.7578,4879.453
