,Category: All categories,education,abuse,alcohol,divorce,allsocialstressors
Week,pharmacy: (Ontario),education: (Ontario),abuse: (Ontario),alcohol: (Ontario),divorce: (Ontario),allsocialstressors: (Ontario)
2018-01-07,20,64.0,81.0,50.0,52.0,267.0
2018-01-14,19,66.0,98.0,57.0,53.0,293.0
2018-01-21,20,60.0,100.0,52.0,60.0,292.0
2018-01-28,21,61.0,91.0,52.0,57.0,282.0
2018-02-04,20,63.0,85.0,52.0,55.0,275.0
2018-02-11,21,55.0,74.0,49.0,62.0,261.0
2018-02-18,20,53.0,65.0,58.0,59.0,255.0
2018-02-25,20,64.0,73.0,53.0,56.0,266.0
2018-03-04,20,54.0,77.0,53.0,58.0,262.0
2018-03-11,21,50.0,72.0,61.0,80.0,284.0
2018-03-18,21,61.0,78.0,58.0,76.0,294.0
2018-03-25,20,57.0,80.0,60.0,65.0,282.0
2018-04-01,19,56.0,71.0,56.0,61.0,263.0
2018-04-08,19,57.0,80.0,52.0,65.0,273.0
2018-04-15,19,55.0,71.0,56.0,64.0,265.0
2018-04-22,20,53.0,73.0,52.0,53.0,251.0
2018-04-29,19,55.0,70.0,51.0,57.0,252.0
2018-05-06,21,58.0,68.0,52.0,57.0,256.0
2018-05-13,20,52.0,57.0,51.0,56.0,236.0
2018-05-20,20,51.0,74.0,54.0,64.0,263.0
2018-05-27,20,58.0,64.0,53.0,55.0,250.0
2018-06-03,21,65.0,73.0,52.0,52.0,263.0
2018-06-10,22,58.0,72.0,60.0,63.0,275.0
2018-06-17,21,52.0,77.0,52.0,62.0,264.0
2018-06-24,21,47.0,56.0,52.0,46.0,222.0
2018-07-01,22,41.0,49.0,53.0,59.0,224.0
2018-07-08,21,54.0,57.0,59.0,63.0,254.0
2018-07-15,22,52.0,60.0,53.0,57.0,244.0
2018-07-22,22,47.0,59.0,53.0,64.0,245.0
2018-07-29,22,43.0,56.0,54.0,59.0,234.0
2018-08-05,20,41.0,52.0,62.0,58.0,233.0
2018-08-12,21,44.0,64.0,54.0,59.0,242.0
2018-08-19,22,51.0,59.0,57.0,58.0,247.0
2018-08-26,22,50.0,66.0,52.0,51.0,241.0
2018-09-02,21,61.0,51.0,49.0,45.0,227.0
2018-09-09,21,67.0,61.0,49.0,49.0,247.0
2018-09-16,21,69.0,67.0,57.0,56.0,270.0
2018-09-23,21,65.0,71.0,53.0,59.0,269.0
2018-09-30,20,59.0,67.0,58.0,49.0,253.0
2018-10-07,21,54.0,75.0,60.0,49.0,259.0
2018-10-14,21,58.0,69.0,58.0,50.0,256.0
2018-10-21,21,57.0,64.0,54.0,50.0,246.0
2018-10-28,22,56.0,71.0,54.0,54.0,257.0
2018-11-04,22,64.0,79.0,57.0,53.0,275.0
2018-11-11,20,54.0,74.0,54.0,44.0,246.0
2018-11-18,20,53.0,78.0,51.0,47.0,249.0
2018-11-25,20,61.0,75.0,59.0,51.0,266.0
2018-12-02,20,58.0,76.0,59.0,55.0,268.0
2018-12-09,22,49.0,68.0,61.0,48.0,248.0
2018-12-16,23,49.0,56.0,72.0,49.0,249.0
2018-12-23,21,25.0,45.0,75.0,47.0,213.0
2018-12-30,21,35.0,44.0,76.0,53.0,229.0
2019-01-06,21,67.0,70.0,59.0,74.0,291.0
2019-01-13,22,94.0,74.0,61.0,66.0,317.0
2019-01-20,21,81.0,74.0,56.0,52.0,284.0
2019-01-27,21,71.0,67.0,50.0,53.0,262.0
2019-02-03,20,70.0,66.0,56.0,58.0,270.0
2019-02-10,21,63.0,60.0,57.0,58.0,259.0
2019-02-17,21,58.0,86.0,58.0,60.0,283.0
2019-02-24,20,64.0,66.0,54.0,54.0,258.0
2019-03-03,21,59.0,82.0,56.0,52.0,270.0
2019-03-10,21,74.0,74.0,53.0,56.0,278.0
2019-03-17,21,78.0,70.0,58.0,56.0,283.0
2019-03-24,20,78.0,79.0,58.0,57.0,292.0
2019-03-31,22,99.0,74.0,56.0,63.0,314.0
2019-04-07,21,80.0,77.0,55.0,58.0,291.0
2019-04-14,21,56.0,62.0,58.0,57.0,254.0
2019-04-21,21,55.0,64.0,53.0,61.0,254.0
2019-04-28,22,63.0,64.0,55.0,51.0,255.0
2019-05-05,22,57.0,59.0,50.0,57.0,245.0
2019-05-12,22,56.0,67.0,59.0,50.0,254.0
2019-05-19,21,54.0,66.0,60.0,50.0,251.0
2019-05-26,21,55.0,62.0,55.0,52.0,245.0
2019-06-02,21,55.0,70.0,58.0,56.0,260.0
2019-06-09,21,51.0,75.0,58.0,50.0,255.0
