,Category: All categories,cbt,selfcare,counselling,crisisline,mindfulness,alltreatmentseeking
Week,Cognitive behavioral therapy: (Ontario),cbt: (Ontario),selfcare: (Ontario),counselling: (Ontario),crisisline: (Ontario),mindfulness: (Ontario),alltreatmentseeking: (Ontario)
2019-11-10,48,56.0,43.0,93.0,73.0,73.0,386.0
2019-11-17,65,59.0,41.0,82.0,47.0,73.0,367.0
2019-11-24,63,61.0,41.0,77.0,27.0,87.0,356.0
2019-12-01,43,50.0,47.0,81.0,26.0,82.0,329.0
2019-12-08,47,56.0,42.0,78.0,42.0,59.0,324.0
2019-12-15,27,54.0,38.0,70.0,52.0,58.0,299.0
2019-12-22,57,44.0,38.0,30.0,0.0,38.0,207.0
2019-12-29,36,46.0,37.0,48.0,37.0,40.0,244.0
2020-01-05,23,63.0,35.0,97.0,32.0,64.0,314.0
2020-01-12,53,55.0,47.0,87.0,27.0,84.0,353.0
2020-01-19,53,69.0,48.0,78.0,48.0,43.0,339.0
2020-01-26,54,70.0,49.0,87.0,44.0,79.0,383.0
2020-02-02,54,83.0,43.0,86.0,37.0,54.0,357.0
2020-02-09,31,69.0,43.0,87.0,10.0,74.0,314.0
2020-02-16,47,66.0,28.0,77.0,23.0,71.0,312.0
2020-02-23,26,43.0,47.0,84.0,19.0,69.0,288.0
2020-03-01,79,72.0,41.0,85.0,41.0,70.0,388.0
2020-03-08,47,78.0,46.0,78.0,31.0,58.0,338.0
2020-03-15,31,41.0,100.0,53.0,31.0,53.0,309.0
2020-03-22,37,25.0,70.0,48.0,59.0,57.0,296.0
2020-03-29,14,46.0,64.0,43.0,49.0,58.0,274.0
2020-04-05,38,45.0,47.0,40.0,36.0,46.0,252.0
2020-04-12,25,49.0,54.0,43.0,41.0,76.0,288.0
2020-04-19,22,33.0,51.0,49.0,26.0,66.0,247.0
2020-04-26,35,41.0,45.0,47.0,73.0,64.0,305.0
2020-05-03,41,54.0,40.0,56.0,51.0,63.0,305.0
2020-05-10,46,52.0,45.0,56.0,37.0,57.0,293.0
2020-05-17,53,63.0,34.0,51.0,46.0,58.0,305.0
2020-05-24,0,49.0,46.0,47.0,46.0,59.0,247.0
2020-05-31,37,60.0,32.0,53.0,51.0,66.0,299.0
2020-06-07,43,46.0,32.0,50.0,58.0,50.0,279.0
2020-06-14,61,47.0,34.0,60.0,29.0,56.0,287.0
2020-06-21,45,55.0,25.0,62.0,62.0,32.0,281.0
2020-06-28,13,42.0,40.0,56.0,24.0,48.0,223.0
2020-07-05,27,63.0,33.0,65.0,30.0,36.0,254.0
2020-07-12,42,47.0,37.0,67.0,50.0,59.0,302.0
2020-07-19,28,53.0,54.0,67.0,73.0,35.0,310.0
2020-07-26,28,53.0,36.0,66.0,53.0,58.0,294.0
2020-08-02,37,46.0,46.0,68.0,40.0,41.0,278.0
2020-08-09,50,73.0,35.0,62.0,29.0,45.0,294.0
2020-08-16,44,41.0,31.0,70.0,40.0,49.0,275.0
2020-08-23,38,58.0,38.0,57.0,69.0,49.0,309.0
2020-08-30,33,45.0,32.0,57.0,93.0,25.0,285.0
2020-09-06,33,62.0,29.0,74.0,61.0,50.0,309.0
2020-09-13,29,67.0,44.0,85.0,35.0,73.0,333.0
2020-09-20,47,56.0,69.0,73.0,50.0,53.0,348.0
2020-09-27,42,49.0,41.0,73.0,34.0,61.0,300.0
2020-10-04,41,63.0,55.0,68.0,55.0,54.0,336.0
2020-10-11,0,46.0,30.0,72.0,35.0,58.0,241.0
2020-10-18,60,67.0,30.0,85.0,32.0,62.0,336.0
2020-10-25,53,53.0,46.0,64.0,36.0,54.0,306.0
2020-11-01,32,62.0,37.0,70.0,53.0,37.0,291.0
2020-11-08,36,55.0,40.0,70.0,35.0,55.0,291.0
2020-11-15,42,65.0,40.0,66.0,48.0,56.0,317.0
2020-11-22,35,67.0,34.0,62.0,48.0,54.0,300.0
2020-11-29,60,66.0,61.0,68.0,18.0,39.0,312.0
2020-12-06,17,67.0,51.0,68.0,35.0,50.0,288.0
2020-12-13,54,56.0,41.0,61.0,56.0,43.0,311.0
2020-12-20,0,33.0,38.0,36.0,51.0,39.0,197.0
2020-12-27,26,32.0,43.0,43.0,14.0,44.0,202.0
2021-01-03,43,34.0,35.0,65.0,70.0,60.0,307.0
2021-01-10,37,54.0,61.0,65.0,53.0,46.0,316.0
2021-01-17,44,59.0,49.0,66.0,78.0,51.0,347.0
2021-01-24,47,58.0,36.0,62.0,93.0,68.0,364.0
2021-01-31,24,69.0,62.0,62.0,42.0,56.0,315.0
2021-02-07,38,66.0,42.0,69.0,37.0,65.0,317.0
2021-02-14,53,37.0,37.0,61.0,32.0,62.0,282.0
2021-02-21,59,66.0,59.0,69.0,11.0,55.0,319.0
2021-02-28,35,53.0,40.0,68.0,35.0,57.0,288.0
2021-03-07,69,54.0,39.0,69.0,53.0,42.0,326.0
2021-03-14,49,67.0,35.0,64.0,36.0,38.0,289.0
2021-03-21,44,54.0,50.0,65.0,45.0,58.0,316.0
2021-03-28,72,59.0,48.0,68.0,49.0,40.0,336.0
2021-04-04,30,62.0,48.0,58.0,30.0,46.0,274.0
2021-04-11,30,67.0,49.0,67.0,49.0,50.0,312.0
2021-04-18,21,58.0,59.0,63.0,47.0,45.0,293.0
2021-04-25,0,62.0,43.0,50.0,30.0,38.0,223.0
2021-05-02,50,45.0,35.0,59.0,16.0,62.0,267.0
2021-05-09,36,52.0,38.0,69.0,45.0,47.0,287.0
2021-05-16,32,47.0,32.0,61.0,54.0,47.0,273.0
2021-05-23,25,53.0,33.0,50.0,67.0,26.0,254.0
2021-05-30,34,46.0,26.0,63.0,30.0,44.0,243.0
2021-06-06,26,43.0,41.0,53.0,67.0,37.0,267.0
2021-06-13,46,52.0,35.0,71.0,29.0,41.0,274.0
2021-06-20,55,49.0,31.0,62.0,58.0,29.0,284.0
2021-06-27,16,57.0,44.0,63.0,60.0,26.0,266.0
2021-07-04,40,56.0,43.0,72.0,65.0,34.0,310.0
2021-07-11,47,50.0,38.0,63.0,21.0,48.0,267.0
2021-07-18,0,43.0,52.0,65.0,38.0,37.0,235.0
2021-07-25,62,49.0,13.0,63.0,38.0,27.0,252.0
2021-08-01,26,52.0,28.0,57.0,28.0,22.0,213.0
2021-08-08,17,67.0,23.0,68.0,82.0,36.0,293.0
2021-08-15,46,49.0,23.0,62.0,54.0,39.0,273.0
2021-08-22,32,38.0,23.0,56.0,58.0,21.0,228.0
2021-08-29,37,41.0,26.0,59.0,39.0,37.0,239.0
