,Category: All categories,anxiety,suicide,fear,loneliness,allmentaldistress
Week,depression: (Ontario),anxiety: (Ontario),suicide: (Ontario),fear: (Ontario),loneliness: (Ontario),allmentaldistress: (Ontario)
2018-01-07,82,83.0,33.0,36.0,44.0,278.0
2018-01-14,100,84.0,32.0,39.0,100.0,355.0
2018-01-21,95,86.0,26.0,36.0,100.0,343.0
2018-01-28,96,92.0,27.0,35.0,70.0,320.0
2018-02-04,90,82.0,24.0,35.0,52.0,283.0
2018-02-11,79,80.0,22.0,35.0,66.0,282.0
2018-02-18,77,75.0,22.0,32.0,75.0,281.0
2018-02-25,94,96.0,26.0,33.0,67.0,316.0
2018-03-04,84,86.0,32.0,36.0,53.0,291.0
2018-03-11,81,81.0,22.0,32.0,66.0,282.0
2018-03-18,96,93.0,26.0,39.0,68.0,322.0
2018-03-25,90,88.0,28.0,42.0,84.0,332.0
2018-04-01,89,83.0,24.0,42.0,94.0,332.0
2018-04-08,85,87.0,22.0,39.0,42.0,275.0
2018-04-15,80,84.0,22.0,53.0,45.0,284.0
2018-04-22,77,73.0,24.0,50.0,19.0,243.0
2018-04-29,75,79.0,25.0,54.0,77.0,310.0
2018-05-06,76,71.0,21.0,45.0,39.0,252.0
2018-05-13,84,80.0,21.0,41.0,58.0,284.0
2018-05-20,71,75.0,24.0,49.0,43.0,262.0
2018-05-27,82,74.0,23.0,46.0,73.0,298.0
2018-06-03,97,86.0,69.0,42.0,52.0,346.0
2018-06-10,98,80.0,35.0,49.0,43.0,305.0
2018-06-17,83,79.0,27.0,33.0,77.0,299.0
2018-06-24,69,70.0,23.0,30.0,68.0,260.0
2018-07-01,65,71.0,22.0,27.0,43.0,228.0
2018-07-08,73,83.0,20.0,35.0,64.0,275.0
2018-07-15,76,77.0,37.0,35.0,59.0,284.0
2018-07-22,72,79.0,33.0,39.0,57.0,280.0
2018-07-29,69,87.0,29.0,39.0,66.0,290.0
2018-08-05,73,82.0,25.0,37.0,68.0,285.0
2018-08-12,63,87.0,25.0,39.0,75.0,289.0
2018-08-19,67,89.0,22.0,39.0,53.0,270.0
2018-08-26,60,84.0,21.0,37.0,56.0,258.0
2018-09-02,58,82.0,21.0,51.0,36.0,248.0
2018-09-09,73,77.0,25.0,60.0,34.0,269.0
