,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99
2021-12-12,1644.1789338111878,-11164.858844468652,-7412.502962019385,-5412.135564692428,-2069.6097703770893,1644.1789338111878,5357.96742569528,8700.493856923173,10700.86040503339,14453.217136699397
2021-12-19,1611.876496618523,-11210.361131151903,-7454.138437236396,-5451.709656652894,-2105.739169207591,1611.876496618523,5329.492374967603,8675.462862412905,10677.890792904547,14434.114336911915
2021-12-26,1648.8936697451963,-11196.874436026033,-7433.758552489073,-5427.655037361643,-2075.5444429076238,1648.8936697451963,5373.331569485043,8725.442802677984,10731.545466153517,14494.662201342375
2022-01-02,1588.602628945731,-11250.80112480888,-7489.549527807878,-5484.440708343799,-2133.9903585389256,1588.602628945731,5311.195829237883,8661.645540620271,10666.75521131433,14428.005957085352
2022-01-09,2330.1521126961593,-10511.552060996515,-6749.6266275958005,-4744.158162836823,-1393.1077854142804,2330.1521126961593,6053.412010806599,9404.462813920381,11409.93085298812,15171.857137771314
2022-01-16,1650.8142529181073,-11209.916228244418,-7442.417177268437,-5433.977011376335,-2077.9619764362064,1650.8142529181073,5379.590269111452,8735.605943534489,10744.045256782714,14511.545160402571
2022-01-23,1641.9030765142486,-11252.807032978366,-7475.353599295232,-5461.6076427545595,-2096.7252231695074,1641.9030765142486,5380.531376198005,8745.413795783057,10759.160607220438,14536.61404090357
2022-01-30,1657.5282228307904,-11255.507693272717,-7472.685976388319,-5456.077352523804,-2086.4131841749518,1657.5282228307904,5401.469415808624,8771.134226241202,10787.741993994083,14570.564566990115
2022-02-06,1661.778473854065,-11284.36918258667,-7491.847515106201,-5470.067882537842,-2091.763186454773,1661.778473854065,5415.319919586182,8793.625259399414,10815.404033660889,14607.926559448242
2022-02-13,1665.2512975078878,-11307.951522129719,-7507.504153864406,-5481.499358772117,-2096.134602252011,1665.2512975078878,5426.636982242638,8812.00238383819,10838.006318829885,14638.454547195792
2022-02-20,1667.253325415212,-11321.546367878138,-7516.529958469923,-5488.089424011319,-2098.654654317124,1667.253325415212,5433.161089863888,8822.596505409063,10851.036178733028,14656.053449275882
2022-02-27,1670.9208199332159,-11346.45062724087,-7533.064237932364,-5500.1616973545815,-2103.271112009883,1670.9208199332159,5445.112536119091,8842.003768735462,10874.905446284347,14688.29269862175
2022-03-06,1675.1671498838107,-11375.285490363423,-7552.208099156481,-5514.139320393311,-2108.616178640572,1675.1671498838107,5458.950262102663,8864.474052771993,10902.541966313041,14725.620222742105
2022-03-13,1678.3412047695676,-11396.839029358067,-7566.517789396671,-5524.587340969558,-2112.6115193350597,1678.3412047695676,5469.293712158816,8881.270183939452,10923.199765505047,14753.521872327961
2022-03-20,1644.5657886421843,-11437.710291882084,-7605.310384138534,-5562.271805408338,-2148.44413002332,1644.5657886421843,5437.575924140678,8851.403599525695,10894.441310923938,14726.84208599944
2022-03-27,1681.5225842568009,-11418.442306334322,-7580.860501365229,-5535.059471899814,-2116.6160798695955,1681.5225842568009,5479.661031257023,8898.105074665764,10943.905235626482,14781.487909100273
2022-04-03,1686.2539893852638,-11450.571090683137,-7602.191242082086,-5550.633814472958,-2122.5717347439595,1686.2539893852638,5495.079495777371,8923.142228717717,10974.698785378383,14823.079504927897
2022-04-10,1689.3333891887921,-11471.481870784415,-7616.074195874704,-5560.770259388932,-2126.4479283803216,1689.3333891887921,5505.114488623163,8939.437474036002,10994.740537982803,14850.149085431485
2022-04-17,1654.5936095131888,-11507.45229355423,-7651.684138674373,-5596.1880316156985,-2161.5443738907443,1654.5936095131888,5470.73181107226,8905.375468797214,10960.870703235336,14816.639730735746
2022-04-24,1654.0082674944508,-11503.381326932993,-7648.977218851447,-5594.208280224885,-2160.7796889916062,1654.0082674944508,5468.796442058469,8902.225033291748,10956.993099606463,14811.398079999855
2022-05-01,1655.055581688086,-11510.665241273244,-7653.8205334621,-5597.750519915687,-2162.147889672385,1655.055581688086,5472.259271264606,8907.861901507908,10963.931042190126,14820.776622865464
2022-05-08,1654.993456468118,-11510.233169614741,-7653.533234781924,-5597.54039918849,-2162.066729912716,1654.993456468118,5472.053861056809,8907.527530332583,10963.519493094589,14820.220300758836
2022-05-15,1692.1874744634797,-11490.862644109433,-7628.941357177785,-5570.165037598379,-2130.0405074168934,1692.1874744634797,5514.415237840577,8954.54042353189,11013.315869098193,14875.238030042943
2022-05-22,1693.8924238446511,-11502.440166960683,-7636.62783343541,-5575.777210940394,-2132.1866119707884,1693.8924238446511,5519.971240936664,8963.56249607655,11024.412243677858,14890.225452096838
2022-05-29,1660.037769563073,-11545.315616422344,-7676.860709442321,-5614.601340562495,-2168.656569573556,1660.037769563073,5488.732327572643,8934.677098561582,10996.935591949645,14865.391374421431
2022-06-05,1661.102928617726,-11552.723639115044,-7681.786547785219,-5618.203935374384,-2170.048082600469,1661.102928617726,5492.254158849301,8940.410011623217,11003.991747980532,14874.929715363874
