,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-03-14,2194.6929,1395.885,1620.7136,1771.677,1968.927,2420.4585,2536.1138,2651.7883,3923.628
2021-03-21,2129.889,1393.1184,1603.0692,1735.8385,1923.4762,2336.3015,2423.7017,2508.2986,3586.8525
2021-03-28,2067.1736,1342.1633,1556.6316,1684.9098,1870.6515,2263.6956,2333.2185,2409.8352,3327.962
2021-04-04,2075.858,1225.5193,1487.2986,1637.7408,1847.7104,2304.0056,2438.0576,2560.933,3586.2822
2021-04-11,2235.2744,1314.4065,1603.2025,1736.8627,1963.142,2507.4067,2649.1777,2829.4565,3978.1304
2021-04-18,2163.7993,1364.9724,1610.9543,1737.5193,1927.9641,2399.6348,2517.2383,2659.7998,3558.7603
2021-04-25,2171.998,1343.0525,1613.2771,1731.1973,1931.8402,2412.156,2528.7173,2664.113,3442.9685
2021-05-02,2096.95,1212.1707,1495.1858,1650.7135,1839.5631,2354.3367,2528.7415,2726.661,3567.1194
2021-05-09,2143.0017,1265.7881,1541.7119,1702.3849,1893.9131,2392.0903,2554.2466,2737.5474,3517.005
2021-05-16,2149.7798,1294.7534,1569.175,1717.132,1906.5006,2393.0588,2540.523,2709.1882,3407.2305
2021-05-23,2054.8545,1257.2771,1516.1423,1674.2563,1832.8059,2276.9033,2408.6333,2551.1042,3103.08
2021-05-30,2056.2275,1278.8501,1534.9341,1689.0106,1847.7545,2264.7007,2386.7769,2506.2988,3004.1392
2021-06-06,2121.9768,1241.1487,1529.3206,1702.5886,1885.3973,2358.5564,2514.0461,2682.02,3294.462
2021-06-13,2035.1108,1173.3651,1446.0442,1636.0327,1792.1918,2278.03,2446.694,2628.3857,3157.8699
2021-06-20,2042.7047,1220.5627,1489.9573,1659.6038,1814.4829,2270.9265,2440.6926,2586.2925,3032.829
2021-06-27,2113.9036,1200.2363,1523.7378,1666.6401,1865.028,2362.779,2575.4268,2727.2822,3100.016
2021-07-04,2122.999,1190.675,1499.8889,1676.2617,1854.4344,2391.5635,2634.5232,2845.4102,3322.4307
2021-07-11,2208.7712,1373.8232,1640.7334,1784.8337,1962.4856,2455.057,2688.56,2879.209,3367.084
2021-07-18,2133.0537,1473.9968,1660.3259,1786.5859,1908.2487,2357.8586,2588.9673,2754.828,3227.3281
2021-07-25,2132.3162,1512.7584,1685.7185,1806.6931,1919.0157,2345.6165,2569.3467,2711.9763,3141.8362
2021-08-01,2076.0479,1355.4761,1559.8525,1703.5656,1843.8724,2308.2231,2550.554,2702.3662,3198.4321
2021-08-08,2132.8713,1408.0848,1612.9159,1764.5444,1903.1292,2362.6135,2589.6233,2749.5518,3250.1611
2021-08-15,2207.3418,1491.7697,1706.8308,1827.9767,1986.9514,2427.7324,2638.8005,2775.2925,3231.267
2021-08-22,2226.0156,1557.5168,1766.0197,1861.1959,2024.0349,2427.9966,2614.8198,2709.3936,3109.508
2021-08-29,2108.5193,1415.6941,1610.1584,1724.02,1889.7527,2327.286,2544.0166,2620.0737,2911.6233
2021-09-05,2131.8328,1403.8716,1607.6941,1751.4535,1911.6366,2352.0288,2579.7832,2691.0503,3074.6282
